,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tyler Hall,3,JR,G,6-4,175,"Rock Island, IL",Rock Island HS, 17.5 Pts,3.7 Reb,2.8 Ast
1,Harald Frey,5,SO,G,6-1,150,Norway,WANG Sports Academy, 13.1 Pts,3.1 Reb,3.2 Ast
2,Keljin Blevins,2,JR,F,6-4,200,"Hot Springs, AR",Bishop O'Connell HS, 9.7 Pts,5.8 Reb,0.9 Ast
3,Joe Mvuezolo Jr.,1,SR,F,6-6,180,United Kingdom,Barking Abbey, 7.8 Pts,3.4 Reb,0.8 Ast
4,Devonte Klines,10,JR,G,6-2,185,"Los Angeles, CA",Santa Margarita Catholic High School, 7.3 Pts,1.8 Reb,1.4 Ast
5,Konner Frey,22,SR,F,6-5,210,"Bountiful, UT",Viewmont, 7.2 Pts,5.0 Reb,0.7 Ast
6,Zach Green,0,SR,G,6-4,195,"Gilbert, AZ",Mesquite HS, 4.8 Pts,4.1 Reb,1.0 Ast
7,Sam Neumann,4,JR,F,6-7,200,"St. Paul, MN",Cretin-Durham Hall HS, 4.1 Pts,4.4 Reb,0.8 Ast
8,Isaac Bonton,13,FR,G,6-2,175,"Portland, OR",, 7.8 Pts,2.8 Reb,1.4 Ast
9,Benson Osayande,21,SR,F,6-9,200,"Elk Grove, CA",Franklin High School, 2.1 Pts,1.2 Reb,0.1 Ast
10,Luke Schultz,44,FR,C,6-11,230,"Fredericksburg, TX",, 1.7 Pts,1.6 Reb,0.0 Ast
11,Lassi Nikkarinen,33,FR,G,6-2,180,Finland,, 0.7 Pts,0.6 Reb,0.6 Ast
12,Devin Kirby,31,,C,6-10,215,"Chandler, AZ",Basha High School,,,
