,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Nick Griffin,0,SR,G,6-2,176,"Rockville, MD",Magruder, 12.6 Pts,2.9 Reb,1.3 Ast
1,Samuel Idowu,23,JR,F,6-7,219,"Brooklyn, NY",Lafayette Educational Complex, 11.2 Pts,5.9 Reb,0.8 Ast
2,Davauhnte Turner,1,JR,G,6-0,175,"Simsboro, LA",, 10.6 Pts,3.1 Reb,2.0 Ast
3,Quinn Taylor,24,SO,G,6-4,185,"Amarillo, TX",Tascosa High School, 7.5 Pts,5.7 Reb,1.7 Ast
4,Cameron Jones,25,SO,G,6-3,210,"Fairless Hills, PA",Pennsbury HS, 6.1 Pts,2.6 Reb,1.3 Ast
5,Elijah Gonzales,3,FR,G,5-9,155,"Portland, OR",, 6.2 Pts,2.2 Reb,3.0 Ast
6,Nnamdi Enechionyia,11,SR,G,6-6,175,"Springfield, VA",St. James, 5.4 Pts,2.6 Reb,1.2 Ast
7,Mamadou Ndaiye,15,JR,F,6-7,210,"Raleigh, NC",Oakland Mills (MD), 4.4 Pts,3.3 Reb,0.3 Ast
8,Julian Powell,21,JR,F,6-9,209,"Baytown, TX",, 1.8 Pts,1.5 Reb,0.3 Ast
9,Jeremiah Livingston,12,JR,G,6-1,165,"Stamford, CT",, 0.9 Pts,0.7 Reb,0.6 Ast
10,Amir Hicks,14,SO,G,5-10,155,"Paterson, NJ",, 0.7 Pts,0.0 Reb,0.0 Ast
11,Manny Dixon,5,,G,6-5,175,,,,,
12,Mikko Johnson,10,,G,6-2,165,,,,,
