,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Femi Olujobi,25,JR,F,6-8,237,"Long Island, NY",Brentwood, 16.3 Pts,7.7 Reb,1.2 Ast
1,Davaris McGowens,0,SR,F,6-7,230,"Taylors, SC",Gray Collegiate Academy, 10.5 Pts,5.3 Reb,0.9 Ast
2,Denzel Keyes,23,SR,G,6-4,210,"Kinston, NC",Kinston HS, 9.2 Pts,5.5 Reb,0.7 Ast
3,Aaren Edmead,1,SR,G,5-10,165,"Deer Park, NY",Deer Park HS, 9.6 Pts,2.0 Reb,2.9 Ast
4,Devonte Boykins,3,SR,G,6-2,180,"Forest City, NC",East Rutherford HS, 9.1 Pts,3.1 Reb,2.3 Ast
5,Kameron Langley,4,FR,G,6-2,205,"Greensboro, NC",, 7.4 Pts,3.3 Reb,5.1 Ast
6,Japhet Kadji,21,SO,F,6-7,205,Cameroon,Gulliver Prep (FL)/IMG Academy (FL), 4.8 Pts,3.5 Reb,0.5 Ast
7,Amari Hamilton,15,JR,G,6-1,165,"Durham, NC",Southern Durham HS, 3.9 Pts,0.8 Reb,0.5 Ast
8,Milik Gantz,22,JR,G,6-3,180,"Harrisburg, PA",, 3.6 Pts,1.3 Reb,0.5 Ast
9,Kwei Lartey,2,JR,G,6-4,200,"Atlanta, GA",, 3.2 Pts,1.5 Reb,1.3 Ast
10,Raymon Pratt,14,SO,G,6-3,197,"Greensboro, NC",Ben L. Smith High School, 3.4 Pts,1.0 Reb,0.2 Ast
11,Donte Watson,24,SR,G,6-6,185,"New Orleans, LA",Riverdale High School, 2.8 Pts,1.0 Reb,0.0 Ast
12,Austin Williams,13,SR,G,6-1,175,"Queens, NY",Believe Prep Academy, 1.0 Pts,0.2 Reb,0.7 Ast
13,D'Andre Johnson,11,,C,6-10,225,,, 0.6 Pts,0.8 Reb,0.2 Ast
14,Dalen Dotson,30,SO,G,5-11,170,"Matthews, NC",, 1.0 Pts,0.3 Reb,0.3 Ast
15,Myles Patten,32,,G,6-4,185,,,,,
