,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Dylan Windler,3,SR,G,6-8,200,"Indianapolis, IN",Perry Meridian High School, 21.4 Pts,10.7 Reb,2.6 Ast
1,Kevin McClain,11,SR,G,6-3,190,"Jennings, FL",Hamilton County High School, 16.3 Pts,3.5 Reb,4.1 Ast
2,Nick Muszynski,33,FR,C,6-11,235,"Pickerington, OH",St. Charles Prep, 14.9 Pts,5.9 Reb,2.7 Ast
3,Grayson Murphy,2,FR,G,6-2,175,"Thompson's Station, TN",Independence High School, 9.8 Pts,4.5 Reb,6.6 Ast
4,Nick Hopkins,14,SO,G,6-0,175,"Fayetteville, TN",Fayetteville High School, 6.8 Pts,1.8 Reb,1.5 Ast
5,Caleb Hollander,10,FR,F,6-8,225,"Nashville, TN",Nashville Central Christian High School, 7.0 Pts,4.5 Reb,0.8 Ast
6,Seth Adelsperger,50,JR,C,6-11,230,"Peru, IN",Peru High School, 4.8 Pts,2.5 Reb,0.2 Ast
7,Michael Benkert,24,JR,G,6-4,200,"Greenwood, IN",Center Grove HS, 4.3 Pts,1.7 Reb,0.6 Ast
8,Adam Kunkel,5,FR,G,6-3,165,"Hebron, KY",Cooper HS, 2.3 Pts,0.7 Reb,0.7 Ast
9,Derek Sabin,21,FR,F,6-9,230,"Slinger, WI",Slinger HS, 1.8 Pts,1.0 Reb,0.3 Ast
10,Tate Pierson,20,FR,G,6-6,200,"Brentwood, TN",Brentwood Academy, 1.1 Pts,0.9 Reb,0.3 Ast
11,Garrett Suedekum,35,SO,G,6-2,170,"Brentwood, TN",Brentwood Academy, 0.3 Pts,0.6 Reb,0.3 Ast
12,Michael Mayernick,0,FR,G,5-8,150,"Nashville, TN",Christ Presbyterian Academy, 0.2 Pts,0.1 Reb,0.3 Ast
13,Rilee Epley,31,FR,F,6-4,195,"Evansville, IN",Harrison HS,,,
14,Mitch Listau,1,FR,G,6-4,185,"Waunakee, WI",Waunakee HS,,,
