,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Eugene Omoruyi,5,JR,F,6-7,234,"Rexdale, Canada",Orangeville High School, 13.8 Pts,7.2 Reb,2.4 Ast
1,Geo Baker,0,SO,G,6-4,180,"Derry, NH",Proctor Academy, 12.2 Pts,3.1 Reb,4.1 Ast
2,Montez Mathis,23,FR,G,6-4,200,"Baltimore, MD",The John Carroll School, 8.5 Pts,2.9 Reb,1.1 Ast
3,Ron Harper Jr.,24,FR,F,6-6,230,"Franklin Lakes, NJ",Don Bosco Prep, 7.8 Pts,3.1 Reb,1.1 Ast
4,Peter Kiss,32,SO,G,6-5,200,"New York, NY",Notre Dame Preparatory, 6.0 Pts,2.2 Reb,0.9 Ast
5,Caleb McConnell,22,FR,G,6-6,190,"Jacksonville, FL",Spire Academy (OH), 5.5 Pts,2.5 Reb,1.0 Ast
6,Myles Johnson,15,FR,C,6-10,255,"Long Beach, CA",Long Beach Polytechnic HS, 4.8 Pts,5.7 Reb,1.1 Ast
7,Shaq Carter,13,JR,F,6-9,245,"Fort Lauderdale, FL",, 4.5 Pts,3.6 Reb,0.4 Ast
8,Shaquille Doorson,2,SR,C,7-0,275,"Amsterdam, Netherlands",Canarias Basketball Academy, 3.7 Pts,4.3 Reb,0.3 Ast
9,Issa Thiam,35,JR,F,6-10,190,"Dakar, Senegal",Canarias Basketball Academy, 3.8 Pts,2.3 Reb,0.6 Ast
10,Mamadou Doucoure,11,SO,F,6-9,243,"Bamako, Mali",Our Savior New American School, 0.3 Pts,1.7 Reb,0.0 Ast
11,Joey Downes,10,SO,G,5-11,170,"East Sandwich, MA",Bridgton Academy, 0.0 Pts,0.4 Reb,0.0 Ast
12,Nick Brooks,1,JR,G,6-1,180,"Somerset, NJ",,,,
13,Luke Nathan,55,SO,C,6-10,235,"Randolph, NJ",Randolph High School,,,
14,Jacob Young,42,JR,G,6-2,190,"Houston, TX",Yates High School,,,
