,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,DaQuan Jeffries,2,SR,G,6-5,230,"Edmond, OK",Santa Fe HS, 13.0 Pts,5.6 Reb,1.8 Ast
1,Martins Igbanu,1,JR,F,6-8,235,"Lagos, France",Covenant Christian Academy, 12.5 Pts,5.7 Reb,0.7 Ast
2,Jeriah Horne,41,SO,F,6-7,222,"Overland Park, KS",The Barstow School, 10.1 Pts,4.9 Reb,1.0 Ast
3,Sterling Taplin,4,SR,G,6-1,195,"East Amherst, NY",St. Thomas More (CT), 9.6 Pts,2.7 Reb,4.1 Ast
4,Curran Scott,10,JR,G,6-4,208,"Edmond, OK",Edmond Memorial HS, 8.9 Pts,2.5 Reb,1.1 Ast
5,Lawson Korita,5,JR,G,6-5,205,"Little Rock, AR",Pulaski Academy, 5.7 Pts,2.8 Reb,1.5 Ast
6,Elijah Joiner,3,SO,G,6-3,200,"Chicago, IL",Curie Metropolitan High School, 5.2 Pts,3.0 Reb,2.1 Ast
7,Darien Jackson,11,SO,G,6-2,189,"Overland Park, KS",Blue Valley North High School, 3.7 Pts,1.6 Reb,0.8 Ast
8,Chris Barnes,0,SO,G,6-4,200,"Compton, CA",Compton High School, 2.2 Pts,1.5 Reb,0.4 Ast
9,Zeke Moore,23,SO,G,6-7,210,"St. Louis, MO",Riverview Gardena High School, 2.6 Pts,1.4 Reb,0.4 Ast
10,Simon Falokun,44,SO,F,6-8,240,"Houston, TX",, 1.7 Pts,1.5 Reb,0.1 Ast
11,Peter Hewitt,32,SO,F,6-10,225,"Mountain View, CA",, 0.6 Pts,0.6 Reb,0.2 Ast
12,Lindsay Deline Jr.,14,SR,G,5-11,189,"Midwest City, OK",, 0.0 Pts,0.0 Reb,0.0 Ast
13,Alex Foree,34,SR,F,6-5,214,"Fort Smith, AR",Southside High School, 0.0 Pts,0.0 Reb,0.5 Ast
14,George Christopoulos,13,FR,G,6-0,167,"Nea Smyrni, Greece",Warner Christian Academy,,,
15,Reggie Jones,22,JR,G,6-6,210,"Marion, IN",Marion High School,,,
