,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Cameron Healy,11,FR,G,6-3,190,"Sydney, Australia",Montverde Academy, 16.0 Pts,3.8 Reb,2.4 Ast
1,Ahmad Clark,2,JR,G,6-1,175,"Bowie, MD",DeMatha Catholic High School, 15.7 Pts,4.3 Reb,4.3 Ast
2,Adam Lulka,14,FR,F,6-8,245,"Sydney, Australia",The King's School, 8.7 Pts,6.4 Reb,1.2 Ast
3,Devonte Campbell,12,SR,F,6-6,235,"Vaughan, Canada",Culver Military Academy, 7.8 Pts,4.8 Reb,0.9 Ast
4,Antonio Rizzuto,0,FR,G,6-3,195,"York, PA",Northeastern HS, 9.2 Pts,2.5 Reb,1.6 Ast
5,Kendall Lauderdale,54,JR,F,6-8,245,"Fullerton, CA",La Mirada HS, 3.6 Pts,2.4 Reb,0.1 Ast
6,Malachi De Sousa,1,FR,F,6-6,200,"Beacon, NY",South Kent HS, 3.5 Pts,1.9 Reb,0.6 Ast
7,Rayshawn Miller,3,SR,G,6-1,190,"Boston, MA",Boston Latin Academy, 2.2 Pts,1.5 Reb,1.3 Ast
8,Brent Hank,10,FR,F,6-10,265,"Port Lincoln, Australia",Trinity College HS, 1.8 Pts,3.3 Reb,0.4 Ast
9,Sasha French,33,SO,F,6-11,235,"Napa, CA",The Hun School of Princeton, 1.4 Pts,1.3 Reb,0.1 Ast
10,Reece Brooks,4,JR,G,5-9,150,"Brampton, Canada",Elite 1 Academy, 1.3 Pts,0.5 Reb,0.3 Ast
11,Philip Flory,23,SO,G,6-5,190,"Oshkosh, WI",Oshkosh North High School, 0.8 Pts,0.8 Reb,0.7 Ast
12,Nick Fruscio,22,JR,G,5-10,170,"Albany, NY",The Albany Academy, 0.3 Pts,0.0 Reb,0.0 Ast
13,Nikola Jerotic,32,FR,F,6-7,210,"Belgrade, Serbia",,,,
14,Jeremiah Starks,21,SO,G,6-2,190,"Suwanee, GA",Peachtree Ridge HS,,,
