,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kahlil Dukes,10,SR,G,6-0,170,"Hartford, CT",Capital Prep Magnet, 21.1 Pts,2.2 Reb,3.3 Ast
1,Matt Scott,13,SR,G,6-4,170,"Brooklyn, NY",Brooklyn Law and Tech HS, 19.5 Pts,7.4 Reb,2.7 Ast
2,Marvin Prochet,11,JR,F,6-7,195,"Brooklyn, NY",Long Island Lutheran (NY), 10.3 Pts,7.8 Reb,1.8 Ast
3,James Towns,5,SO,G,5-10,162,"Detroit, MI",Henry Ford High School, 9.3 Pts,1.7 Reb,2.1 Ast
4,Dominic Robb,32,JR,F,6-8,215,"Pittsburgh, PA",Hun School of Princeton, 6.9 Pts,4.0 Reb,0.4 Ast
5,Greg King,24,JR,F,6-4,225,"Atlanta, GA",, 4.6 Pts,5.6 Reb,0.3 Ast
6,Keleaf Tate,4,FR,G,6-2,170,"Washington, DC",, 4.6 Pts,1.8 Reb,0.4 Ast
7,Chris Barton,0,SO,G,6-3,180,"Pontiac, MI",Avondale High School, 4.8 Pts,1.7 Reb,0.8 Ast
8,Kevin Larkin,2,JR,G,6-5,180,"Georgetown, DE",Sussex Technical High School, 4.1 Pts,2.6 Reb,0.4 Ast
9,Greg Kuakumensah,30,FR,F,6-6,200,"Worcester, MA",, 1.9 Pts,1.8 Reb,0.3 Ast
10,Kierell Green,21,FR,F,6-7,165,"Washington, DC",Ideal Academy PCS, 1.4 Pts,1.4 Reb,0.2 Ast
11,Sam Volmy,,,G,6-3,190,,, 0.5 Pts,0.5 Reb,0.0 Ast
12,Dominik Fragala,1,,G,6-0,145,,, 0.0 Pts,0.0 Reb,0.0 Ast
13,Dwayne Pow,12,,G,5-10,164,"Bronx, NY",La Salle Academy,,,
