,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Obi Toppin,1,FR,F,6-9,220,"Ossining, NY",Mt. Zion Prep (MS), 14.2 Pts,5.6 Reb,1.8 Ast
1,Jalen Crutcher,10,SO,G,6-1,169,"Memphis, TN",Ridgeway High School, 13.1 Pts,4.0 Reb,5.7 Ast
2,Josh Cunningham,0,SR,F,6-8,239,"Chicago, IL",Morgan Park, 13.6 Pts,6.3 Reb,1.5 Ast
3,Ryan Mikesell,33,JR,F,6-7,215,"Saint Henry, OH",St. Henry HS, 10.0 Pts,5.3 Reb,2.4 Ast
4,Jordan Davis,4,SO,G,6-2,195,"Irmo, SC",Dutch Fork High School, 9.7 Pts,2.8 Reb,1.9 Ast
5,Trey Landers,3,JR,G,6-5,221,"Dayton, OH",Wayne High School, 8.3 Pts,6.8 Reb,2.0 Ast
6,Dwayne Cohill,35,FR,G,6-2,176,"Cleveland, OH",Holy Name HS, 3.5 Pts,1.0 Reb,0.8 Ast
7,Jhery Matos,31,JR,G,6-5,192,"Santo Domingo, Dominican Republic",Orlando West Oaks Academy, 3.7 Pts,3.2 Reb,1.2 Ast
8,Frankie Policelli,2,FR,F,6-7,215,"New Hartford, NY",Long Island Lutheran HS, 0.9 Pts,0.5 Reb,0.5 Ast
9,Jack Westerfield,23,SR,G,6-1,180,"Cincinnati, OH",St. Xavier HS, 1.0 Pts,0.3 Reb,0.1 Ast
10,Camron Greer,52,SO,G,5-7,160,"Country Club Hills, IL",Rich Central High School, 0.5 Pts,0.3 Reb,0.2 Ast
11,Jabali Leonard,51,FR,G,6-1,180,"Dayton, OH",Meadowdale HS, 0.0 Pts,0.0 Reb,0.0 Ast
12,Christian Wilson,53,FR,G,6-1,160,"Dayton, OH",Northmont HS, 0.0 Pts,0.0 Reb,0.0 Ast
13,Rodney Chatman,,SO,G,6-1,178,"Lithonia, GA",Lithonia High School,,,
14,Jordy Tshimanga,,SO,C,6-11,275,"Montreal, Canada",MacDuffie School,,,
15,Ibi Watson,,SO,G,6-5,198,"Pickerington, OH",Pickerington High School Central,,,
