,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kevin Knox,5,FR,F,6-9,215,"Tampa, FL",, 15.6 Pts,5.4 Reb,1.4 Ast
1,Shai Gilgeous-Alexander,22,FR,G,6-6,180,Canada,, 13.9 Pts,3.9 Reb,5.0 Ast
2,PJ Washington,25,FR,F,6-7,236,"Dallas, TX",, 10.5 Pts,5.5 Reb,1.6 Ast
3,Hamidou Diallo,3,FR,G,6-5,190,"Queens, NY",, 10.0 Pts,3.5 Reb,1.3 Ast
4,Quade Green,0,FR,G,6-0,180,"Philadelphia, PA",, 9.6 Pts,1.8 Reb,2.7 Ast
5,Wenyen Gabriel,32,SO,F,6-9,213,"Manchester, NH",Wilbraham & Monson Academy, 6.8 Pts,5.2 Reb,0.6 Ast
6,Nick Richards,4,FR,F,6-11,240,Jamaica,, 5.4 Pts,4.7 Reb,0.3 Ast
7,Sacha Killeya-Jones,1,SO,F,6-10,230,"Chapel Hill, NC",Virginia Episcopal School, 3.3 Pts,3.0 Reb,0.3 Ast
8,Jarred Vanderbilt,2,,F,6-9,214,,, 5.9 Pts,7.9 Reb,1.0 Ast
9,Tai Wynyard,14,SO,F,6-10,254,New Zealand,Rangitoto School, 1.0 Pts,1.8 Reb,0.0 Ast
10,Brad Calipari,12,SO,G,6-0,178,"Franklin Lakes, NJ",MacDuffie School, 0.3 Pts,0.2 Reb,0.1 Ast
11,Jonny David,10,JR,G,6-2,175,"Pittsburgh, PA",Mt. Lebanon HS, 0.0 Pts,0.0 Reb,0.0 Ast
12,Dillon Pulliam,30,JR,G,6-3,180,"Cynthiana, KY",Harrison County High School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Jemarl Baker,13,,G,6-4,182,,,,,
