,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Christian Vital,1,JR,G,6-2,177,"Queens Village, NY",St. Thomas More Prep, 14.2 Pts,5.6 Reb,2.4 Ast
1,Jalen Adams,4,SR,G,6-3,195,"Roxbury, MA",Brewster Academy, 16.9 Pts,4.0 Reb,3.4 Ast
2,Alterique Gilbert,3,SO,G,6-0,180,"Atlanta, GA",Miller Grove High School, 12.6 Pts,2.9 Reb,3.6 Ast
3,Josh Carlton,25,SO,F,6-10,235,"Winterville, NC",DeMatha Catholic High School, 9.0 Pts,6.2 Reb,0.4 Ast
4,Tyler Polley,12,SO,F,6-8,200,"Miramar, FL",Sagemont School, 8.4 Pts,2.3 Reb,0.6 Ast
5,Tarin Smith,2,SR,G,6-3,185,"Ocean Township, NJ",St. Anthony, 8.0 Pts,3.0 Reb,2.4 Ast
6,Sidney Wilson,15,FR,G,6-7,177,"Bronx, NY",Brewster Academy , 4.6 Pts,2.7 Reb,0.3 Ast
7,Eric Cobb,0,SR,F,6-9,249,"Jacksonville, FL",St. Francis Academy (MD), 3.7 Pts,3.8 Reb,0.5 Ast
8,Brendan Adams,10,FR,G,6-4,196,"Hanover, MD",Calvert Hall College HS, 2.6 Pts,1.2 Reb,0.7 Ast
9,Kassoum Yakwe,14,SR,F,6-7,212,"Bamako, Mali",Our Savior New American HS, 1.8 Pts,2.4 Reb,0.2 Ast
10,Isaiah Whaley,5,SO,F,6-8,210,"Gastonia, NC",Mt. Zion Christian Academy, 0.8 Pts,1.0 Reb,0.0 Ast
11,Kwintin Williams,22,SR,F,6-7,221,"Anchorage, AK",South Anchorage High School, 1.0 Pts,1.6 Reb,0.1 Ast
12,Temi Aiyegbusi,45,JR,G,6-4,205,"Conshohocken, PA",Saint Joseph's Preparatory School, 0.2 Pts,0.2 Reb,0.0 Ast
13,Daniel Brocke,40,SO,F,6-8,230,"West Hartford, CT",, 0.3 Pts,0.3 Reb,0.0 Ast
14,Mamadou Diarra,21,SO,F,6-8,225,"Queens, NY",Putnam Science Academy, 1.0 Pts,0.0 Reb,0.0 Ast
