,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Stanley Umude,0,SO,G,6-6,210,"San Antonio, TX",Warren High School, 14.4 Pts,5.5 Reb,1.4 Ast
1,Triston Simpson,3,JR,G,6-2,190,"Lincoln, NE",Lincoln North Star High School, 14.0 Pts,3.7 Reb,3.6 Ast
2,Tyler Peterson,22,JR,G,6-4,210,"Lino Lakes, MN",Centennial High School, 11.4 Pts,5.0 Reb,2.0 Ast
3,Trey Burch-Manning,12,SR,F,6-6,215,"Federal Way, WA",Todd Beamer High School, 11.1 Pts,6.2 Reb,1.4 Ast
4,Cody Kelley,10,JR,G,5-11,190,"Gillette, WY",ELEVI8 Sports Institute, 9.3 Pts,3.5 Reb,3.3 Ast
5,Brandon Armstrong,20,JR,G,6-5,220,"San Antonio, TX",Judson High School, 7.0 Pts,2.5 Reb,0.7 Ast
6,Logan Power,33,SR,F,6-6,230,"Lincoln, NE",Lincoln Christian HS, 4.2 Pts,1.2 Reb,0.3 Ast
7,Matt Johns,13,FR,F,6-8,230,"Geelong, Australia",Belmont HS, 2.5 Pts,1.3 Reb,0.9 Ast
8,Dan Jech,31,SR,F,6-9,230,"Rochester, MN",Mayo HS, 2.5 Pts,1.9 Reb,0.1 Ast
9,Nathan Robinson,24,FR,G,6-4,185,"Walnut Creek, CA",Las Lomas HS, 1.6 Pts,1.3 Reb,0.3 Ast
10,Jay Harvey,32,SR,F,6-9,270,"Chicago, IL",Thornton Fractional North High School, 0.7 Pts,2.5 Reb,0.0 Ast
11,Caleb Cline,1,JR,G,6-3,,,, 0.0 Pts,0.0 Reb,0.0 Ast
12,Jack Stensgard,1,SO,G,6-3,180,"Inver Grove Heights, MN",Simley High School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Tyler Hagedorn,25,SR,F,6-10,230,"Norfolk, NE",Norfolk HS,,,
14,Caden Hoffman,11,FR,G,6-0,175,"Scottsdale, AZ",Rancho Solano Prep,,,
15,Simeon Jovic,2,FR,F,6-9,210,"Novi Sad, Serbia",Southwest Christian Academy,,,
16,Isaiah Smith,5,FR,G,6-3,200,"Omaha, NE",IMG Academy,,,
