,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Brian Parker,2,JR,G,6-9,195,"Cleveland, OH",Villa Angela St. Joseph's, 17.1 Pts,5.3 Reb,3.4 Ast
1,Ryan Funk,30,JR,F,6-5,195,"Clarence, NY",St. Thomas More, 11.5 Pts,2.9 Reb,0.5 Ast
2,David Knudsen,34,JR,F,6-4,190,Denmark,Falkonergardens, 10.8 Pts,3.0 Reb,2.1 Ast
3,Isaiah Lamb,4,JR,F,6-5,205,"Baltimore, MD",Dulaney High School, 7.7 Pts,2.8 Reb,0.6 Ast
4,Aleksandar Dozic,14,SO,F,6-9,216,Montenegro,Don Bosco Prep HS, 7.3 Pts,4.3 Reb,1.8 Ast
5,Austin Williams,22,FR,G,6-3,185,"West Orange, NJ",, 6.0 Pts,2.8 Reb,1.2 Ast
6,Tobias Sjoberg,11,SO,C,6-9,210,Sweden,Malmo Idrottsgymnasium, 5.1 Pts,5.7 Reb,1.5 Ast
7,Lasse Gummerus,35,FR,F,6-8,210,Finland,, 4.9 Pts,2.3 Reb,0.4 Ast
8,Connor McClenaghan,33,SR,C,6-9,215,"Carrollton, TX",Hebron HS, 2.8 Pts,1.6 Reb,0.4 Ast
9,Andrea Bernardi,0,FR,G,6-4,180,Italy,, 2.2 Pts,0.9 Reb,0.3 Ast
10,Kristinn Palsson,13,JR,F,6-6,200,Iceland,Marymount, 2.8 Pts,2.6 Reb,1.1 Ast
11,Ryan Carmello,10,FR,G,5-11,160,"Latham, NY",, 0.5 Pts,0.2 Reb,0.2 Ast
12,Michael Servetas,32,FR,G,6-2,190,"Trumbull, CT",, 0.2 Pts,0.3 Reb,0.0 Ast
13,Tucker Lee,25,FR,G,6-3,180,"Poughkeepsie, NY",, 0.0 Pts,0.1 Reb,0.0 Ast
14,Richie Mitchell,1,,G,6-1,175,"Michigan City, IN",Don Bosco Preparatory High School,,,
15,Obi Momah,15,,C,6-7,235,"Farmington, CT",Farmington HS,,,
