,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Myles Stephens,12,SR,G,6-5,210,"Lawrenceville, NJ",The Pennington School (NJ) / St. Andrew's School (DE), 12.9 Pts,6.3 Reb,1.2 Ast
1,Richmond Aririguzoh,34,JR,C,6-9,230,"Ewing, NJ",Trenton Catholic Academy, 12.1 Pts,6.4 Reb,1.2 Ast
2,Devin Cannady,3,SR,G,6-2,182,"Mishawaka, IN",Marian High School, 18.9 Pts,5.6 Reb,1.7 Ast
3,Jaelin Llewellyn,0,FR,G,6-2,175,"Mississauga, Canada",Virginia Episcopal School, 10.1 Pts,3.0 Reb,2.6 Ast
4,Ryan Schwieger,15,SO,G,6-6,205,"Matthews, NC",Weddington High School, 7.5 Pts,2.5 Reb,1.3 Ast
5,Jerome Desrosiers,22,SO,F,6-7,230,"Saint-Hyacinthe, Canada",Northfield Mount Hermon School, 5.0 Pts,5.3 Reb,0.7 Ast
6,Jose Morales,2,JR,G,5-9,170,"Miramar, FL",Cardinal Gibbons High School, 4.8 Pts,1.7 Reb,1.6 Ast
7,Sebastian Much,33,SO,F,6-8,220,"Laguna Niguel, CA",Junipero Serra Catholic High School, 3.5 Pts,1.7 Reb,0.8 Ast
8,Ethan Wright,14,FR,G,6-3,180,"Newton Center, MA",Newton North HS, 3.5 Pts,2.9 Reb,0.6 Ast
9,Max Johns,4,FR,G,6-3,195,"High Point, NC",Woodberry Forest HS, 2.5 Pts,1.1 Reb,0.1 Ast
10,Drew Friberg,5,FR,F,6-6,210,"State College, PA",, 1.9 Pts,0.5 Reb,0.2 Ast
11,Will Gladson,13,JR,F,6-10,240,"Chesterfield, MO",Chaminade College Preparatory School, 3.3 Pts,1.9 Reb,0.7 Ast
12,Elijah Barnes,23,SO,F,6-7,215,"Middletown, NJ",Mater Dei High School, 0.8 Pts,0.6 Reb,0.1 Ast
13,Vittorio Reynoso-Avila,1,JR,F,6-5,200,"La Mirada, CA",La Mirada High School, 0.9 Pts,0.5 Reb,0.3 Ast
14,Charlie Bagin,10,SO,G,6-1,170,"Glen Ridge, NJ",Don Bosco Preparatory High School, 0.6 Pts,0.3 Reb,0.0 Ast
15,Noah Bramlage,31,SR,F,6-8,225,"Glandorf, OH",Ottawa-Glandorf, 0.5 Pts,0.6 Reb,0.6 Ast
16,Elias Berbari,11,SR,G,6-2,185,"Greenlawn, NY",Harborfields HIgh School, 0.0 Pts,0.6 Reb,0.0 Ast
17,Colby Kyle,35,FR,F,6-8,190,"Monroe, WA",Monroe HS,,,
