,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Ar'Mond Davis,1,SR,G,6-6,190,"Tacoma, WA",Henry Foss High School, 13.1 Pts,5.9 Reb,1.4 Ast
1,Amadou Sow,12,FR,F,6-9,235,"Bamako, Mali",Prolific Prep Academy, 12.2 Pts,6.6 Reb,0.4 Ast
2,Devearl Ramsey,4,SO,G,6-0,185,"Los Angeles, CA",Sierra Canyon School, 10.3 Pts,3.4 Reb,3.2 Ast
3,Jaquori McLaughlin,3,SO,G,6-4,190,"Tacoma, WA",Peninsula High School, 10.3 Pts,2.8 Reb,3.2 Ast
4,Max Heidegger,21,JR,G,6-3,180,"Malibu, CA",Crespi Carmelite High School, 11.9 Pts,3.0 Reb,2.7 Ast
5,Jarriesse Blackmon,2,SR,F,6-7,220,"Layton, UT",Layton HS, 4.6 Pts,3.8 Reb,1.1 Ast
6,Robinson Idehen,35,SO,F,6-10,230,"Tudela, Spain",Modesto Christian HS, 3.7 Pts,2.8 Reb,0.1 Ast
7,Jay Nagle,5,FR,F,6-8,205,"Vacavile, CA",Will C. Wood HS, 3.5 Pts,1.8 Reb,0.5 Ast
8,Sekou Toure,0,FR,G,6-5,185,"Conarky, Guinea",Prolific Prep Academy, 3.2 Pts,2.4 Reb,0.6 Ast
9,Ami Lakoju,14,SR,F,6-9,260,"Harlem, NY",St. Luke's School, 2.7 Pts,1.9 Reb,0.1 Ast
10,Christian Terrell,23,JR,G,6-5,200,"Sacramento, CA",Sacramento High School, 1.7 Pts,1.4 Reb,1.1 Ast
11,Maxwell Kupchak,10,SR,F,6-7,205,"Los Angeles, CA",Brentwood School (CA), 0.9 Pts,0.9 Reb,0.1 Ast
12,Zack Moore,34,JR,G,6-5,210,"Bellevue, WA",Bellevue HS, 1.2 Pts,0.6 Reb,1.1 Ast
13,Scotty Harris,13,SO,G,6-5,190,"Portola Valley, CA",Woodside Priory HS, 5.0 Pts,2.0 Reb,2.0 Ast
14,Andrew Pickles,40,JR,F,6-7,225,"Seattle, WA",Mercer Island High School, 1.0 Pts,0.5 Reb,1.0 Ast
15,Mobeen Hirbod,15,FR,G,6-1,175,"Danville, CA",The Bentley School, 0.0 Pts,0.0 Reb,0.0 Ast
16,Brandon Cyrus,99,JR,G,6-5,190,"Oakville, Canada",La Lumiere School,,,
