,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Torin Dorn,2,SR,G,6-5,210,"Charlotte, NC",Vance, 13.4 Pts,7.1 Reb,1.3 Ast
1,C.J. Bryce,13,JR,G,6-5,195,"Charlotte, NC",North Mecklenburg HS, 11.3 Pts,4.4 Reb,1.8 Ast
2,Markell Johnson,11,JR,G,6-1,175,"Cleveland, OH",East Technical High School, 11.9 Pts,2.5 Reb,4.1 Ast
3,Braxton Beverly,10,SO,G,6-0,180,"Hazard, KY",Hargrave Military Academy, 9.5 Pts,1.6 Reb,2.5 Ast
4,Devon Daniels,24,SO,G,6-5,200,"Battle Creek, MI",Prolific Prep, 9.2 Pts,4.4 Reb,1.7 Ast
5,DJ Funderburk,0,SO,F,6-10,210,"Cleveland, OH",Hargrave Military Academy, 9.0 Pts,4.4 Reb,0.5 Ast
6,Jericole Hellems,4,FR,F,6-7,198,"St. Louis, MO",Chaminade HS, 5.7 Pts,2.8 Reb,0.7 Ast
7,Wyatt Walker,33,SR,F,6-9,240,"Jacksonville, FL",Providence School, 5.0 Pts,4.3 Reb,0.9 Ast
8,Eric Lockett,5,SR,G,6-5,193,"Warner Robins, GA",Whitefield Academy, 5.0 Pts,3.3 Reb,1.4 Ast
9,Blake Harris,55,SO,G,6-3,190,"Chapel Hill, NC",Word of God Christian Academy, 3.2 Pts,1.3 Reb,1.5 Ast
10,Ian Steere,21,FR,F,6-9,261,"Sanford, NC",Northwood Temple Academy, 4.0 Pts,4.0 Reb,1.0 Ast
11,Manny Bates,12,FR,F,6-11,221,"Fayetteville, NC",Northwood Temple Academy,,,
12,Sacha Killeya-Jones,1,JR,F,6-11,220,"Chapel Hill, NC",Virginia Episcopal School,,,
