,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tyus Battle,25,SO,G,6-6,205,"Edison, NJ",Gill ST. Bernard's School, 19.8 Pts,3.1 Reb,1.9 Ast
1,Franklin Howard,23,JR,G,6-4,170,"Suitland, MD",Paul IV HS, 15.0 Pts,3.4 Reb,5.0 Ast
2,Oshae Brissett,11,FR,F,6-8,210,"Mississauga, AB",, 14.7 Pts,8.8 Reb,0.9 Ast
3,Paschal Chukwu,13,JR,C,7-2,226,"Westport, CT",Fairfield Prep, 5.4 Pts,6.8 Reb,0.5 Ast
4,Marek Dolezaj,21,FR,F,6-9,180,Slovakia,, 5.2 Pts,4.8 Reb,1.6 Ast
5,Matthew Moyer,2,SO,F,6-8,220,"Gahanna, OH",, 3.5 Pts,3.7 Reb,0.5 Ast
6,Bourama Sidibe,35,FR,F,6-10,205,"Newark, NJ",, 2.8 Pts,3.3 Reb,0.2 Ast
7,Geno Thorpe,30,SR,G,6-3,180,"Pittsburgh, PA",Shaler, 6.0 Pts,0.8 Reb,1.0 Ast
8,Howard Washington,10,FR,G,6-3,180,"Buffalo, NY",, 1.1 Pts,0.8 Reb,0.6 Ast
9,Braedon Bayer,14,JR,G,6-4,185,"Lagrangeville, NY",, 0.3 Pts,0.5 Reb,0.0 Ast
10,Shaun Belbey,24,JR,G,5-10,150,"Brick, NJ",Uniondale HS, 0.7 Pts,0.0 Reb,0.3 Ast
11,Patrick Herlihy,5,SR,F,6-6,205,"Charleston, WV",, 0.5 Pts,0.3 Reb,0.0 Ast
12,Adrian Autry,0,JR,G,6-0,160,"Jamesville, NY",Jamesville-DeWitt HS, 0.0 Pts,0.0 Reb,0.0 Ast
13,Ray Featherston,32,SO,G,5-8,150,"Westport, CT",Fairfield College Preparatory School, 0.0 Pts,0.0 Reb,0.3 Ast
14,Ky Feldman,54,,G,5-10,155,"Agoura Hills, CA",Agoura HS,,,
15,Elijah Hughes,4,,G,6-6,215,"Beacon, NY",John F. Kennedy Catholic High School,,,
