,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jesse Hunt,34,SR,F,6-7,210,"Geraldton, Australia",Sir Francis Drake HS, 14.6 Pts,8.7 Reb,3.3 Ast
1,Mason Peatling,14,JR,F,6-8,220,"Melbourne, Australia",Beaconhills College, 15.4 Pts,7.5 Reb,1.5 Ast
2,Jacob Davison,10,SO,G,6-4,175,"Long Beach, CA",Cantwell-Sacred Heart of Mary High School, 14.6 Pts,3.0 Reb,1.8 Ast
3,Tyler Kidd,0,JR,G,5-11,180,"Seattle, WA",, 9.9 Pts,1.7 Reb,3.1 Ast
4,Cody Benzel,20,SR,G,6-4,175,"Spokane, WA",Ferris HS, 6.0 Pts,1.4 Reb,0.7 Ast
5,Kim Aiken Jr.,24,FR,G,6-7,215,"Redlands, CA",East Valley HS, 6.7 Pts,5.0 Reb,0.5 Ast
6,Ty Gibson,2,SR,G,6-3,190,"Issaquah, WA",Issaquah HS, 4.2 Pts,2.2 Reb,0.7 Ast
7,Jack Perry,11,SO,G,6-2,175,"Melbourne, Australia",Camberwell Grammar School, 4.1 Pts,1.7 Reb,1.7 Ast
8,Luka Vulikic,13,SO,G,6-6,190,"Belgrade, Serbia",Svetozar Markovic Jagodina HS, 5.3 Pts,3.0 Reb,2.2 Ast
9,Austin Fadal,1,FR,G,6-4,175,"San Ramon, CA",Hillcrest Prep, 3.8 Pts,1.7 Reb,0.5 Ast
10,Tanner Groves,35,FR,F,6-9,235,"Spokane, WA",Shadle Park HS, 2.8 Pts,2.1 Reb,0.3 Ast
11,Elijah Jackson,22,FR,G,6-4,190,"West Seattle, WA",Chief Sealth HS, 1.7 Pts,1.7 Reb,0.2 Ast
12,Joshua Thomas,42,SO,G,6-3,185,"Spokane, WA",Central Valley High School, 1.3 Pts,0.3 Reb,0.0 Ast
13,Steven Beo,12,SO,G,6-3,180,"Richland, WA",Richland High School, 1.0 Pts,1.3 Reb,0.0 Ast
14,Michael Meadows,25,FR,G,6-2,175,"Hollywood, CA",Campbell Hall HS, 0.0 Pts,0.0 Reb,0.0 Ast
15,Jordan Veening,23,FR,F,6-6,205,"Sumas, WA",Nooksack Valley HS, 0.0 Pts,0.0 Reb,0.0 Ast
16,Ralueke Orizu,4,SO,F,6-9,190,"Austell, GA",South Cobb High School,,,
17,Casson Rouse,5,,G,6-2,180,"Lacey, WA",Timberline HS,,,
