,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jacob Grandison,3,SO,G,6-6,196,"Oakland, CA",Phillips Exeter Academy, 13.9 Pts,5.0 Reb,2.9 Ast
1,Jehyve Floyd,20,SR,F,6-8,240,"Sayreville, NJ",Sayreville War Memorial High School, 12.9 Pts,6.1 Reb,3.5 Ast
2,Austin Butler,4,SO,G,6-5,212,"Latrobe, PA",Greater Latrobe Senior High School, 12.6 Pts,4.1 Reb,1.9 Ast
3,Caleb Green,0,SO,G,5-10,175,"Londonderry, NH",Proctor Academy, 10.8 Pts,2.9 Reb,3.2 Ast
4,Matt Faw,15,SO,F,6-9,223,"King Of Prussia, PA",Upper Merion Area High School, 6.7 Pts,3.1 Reb,0.6 Ast
5,Pat Benzan,10,SR,G,5-11,177,"Wellesley, MA",Roxbury Latin (MA), 5.5 Pts,2.3 Reb,2.6 Ast
6,Kyle Copeland,2,SO,G,6-4,175,"Leesburg, VA",Phillips Exeter Academy, 2.2 Pts,1.1 Reb,0.4 Ast
7,Connor Niego,5,SO,F,6-8,212,"Western Springs, IL",Lyons Township, 5.0 Pts,1.5 Reb,0.8 Ast
8,Matt Zignorski,31,SR,G,6-2,195,"Sparta, NJ",Pope John XXIII (NJ), 1.2 Pts,0.7 Reb,0.3 Ast
9,Clayton Le Sann,12,JR,G,6-4,184,"Geneva, Switzerland",Cheshire Academy, 1.2 Pts,0.4 Reb,0.1 Ast
10,Marlon Hargis,13,FR,F,6-7,203,"Mays Landing, NJ",St Augustine Prep, 0.6 Pts,0.4 Reb,0.2 Ast
11,Blake Verbeek,42,FR,F,6-10,201,"Grand Rapids, MI",Calvin Christian HS, 0.4 Pts,0.3 Reb,0.0 Ast
12,Chris Lovisolo,22,FR,F,6-9,228,"Allendale, NJ",Don Bosco Prep, 0.0 Pts,0.0 Reb,0.0 Ast
13,Lincoln Yeutter,21,FR,G,6-2,188,"Chevy Chase, MD",Bullis School, 0.0 Pts,0.0 Reb,0.0 Ast
14,D.J. Hart,24,FR,F,6-5,232,"Newark, NJ",St. Benedict's Prep,,,
15,Marcellis Perkins,14,SR,G,6-4,185,"Chesapeake, VA",Deep Creek HS (VA) / Fishburne Military Academy,,,
