,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Ty-Shon Alexander,5,SO,G,6-4,195,"Charlotte, NC",Oak Hill Academy, 16.2 Pts,3.9 Reb,2.6 Ast
1,Martin Krampelj,15,JR,F,6-9,235,"Grosuplje, Slovenia",Impact Academy (FL), 13.7 Pts,7.0 Reb,0.8 Ast
2,Mitchell Ballock,24,SO,G,6-5,205,"Eudora, KS",Eudora High School, 10.9 Pts,4.3 Reb,3.3 Ast
3,Davion Mintz,1,JR,G,6-3,185,"Charlotte, NC",North Mecklenburg High School, 9.7 Pts,3.0 Reb,3.1 Ast
4,Marcus Zegarowski,11,FR,G,6-2,180,"Hamilton, MA",Tilton School, 10.4 Pts,3.1 Reb,3.3 Ast
5,Damien Jefferson,23,SO,G,6-5,200,"East Chicago, IN",East Chicago Central High School, 6.7 Pts,4.3 Reb,0.9 Ast
6,Kaleb Joseph,14,SR,G,6-3,185,"Nashua, NH",Cushing Academy, 4.6 Pts,1.7 Reb,1.2 Ast
7,Samson Froling,31,FR,C,7-0,230,"Townsville, Australia",, 3.7 Pts,2.0 Reb,0.5 Ast
8,Christian Bishop,13,FR,F,6-7,205,"Lee's Summit, MO",West HS, 3.5 Pts,1.6 Reb,0.4 Ast
9,Connor Cashaw,2,SR,G,6-5,200,"Lincolnshire, IL",Stevenson HS, 2.0 Pts,1.9 Reb,0.8 Ast
10,Jacob Epperson,41,SO,C,6-11,225,"Melbourne, Australia",La Lumiere School, 4.8 Pts,2.2 Reb,0.0 Ast
11,Jordan Scurry,12,JR,G,6-2,200,"Dedham, MA",St. Mark's High School, 1.0 Pts,0.2 Reb,0.1 Ast
12,Jett Canfield,10,FR,G,5-10,155,"Topeka, KS",Hayden Catholic HS,,,
13,Denzel Mahoney,34,JR,G,6-5,225,"Oviedo, FL",Hagerty High School,,,
