,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Marlain Veal,0,JR,G,5-7,145,"New Orleans, LA",Helen Cox HS (LA), 13.1 Pts,5.3 Reb,6.1 Ast
1,Jordan Capps,21,SR,F,6-6,195,"Norcross, GA",Peachtree Ridge, 13.2 Pts,4.3 Reb,0.5 Ast
2,Moses Greenwood,13,JR,F,6-7,221,"Sharon, MS",Velma Jackson, 10.3 Pts,5.7 Reb,0.4 Ast
3,Joshua Filmore,3,SR,G,6-0,175,"Orlando, FL",Wekiva HS, 9.5 Pts,2.3 Reb,2.1 Ast
4,Eddy Polanco,10,SR,G,6-3,195,"Bronx, NY",Washington Heights Expeditionary Learning School, 8.2 Pts,3.4 Reb,1.7 Ast
5,James Currington,23,SR,F,6-6,192,"Tuscaloosa, AL",Paul Bryant, 7.6 Pts,5.2 Reb,0.4 Ast
6,Jabbar Singleton,5,SR,G,6-0,190,"New Orleans, LA",Brother Martin, 6.5 Pts,1.5 Reb,2.3 Ast
7,Keith Charleston,24,JR,G,6-8,207,"Little Rock, AR",, 4.5 Pts,4.1 Reb,1.4 Ast
8,Quinton Thomas,1,SR,G,6-2,165,"Baton Rouge, LA",Durham HS, 2.3 Pts,1.4 Reb,0.4 Ast
9,Brandon Gonzalez,20,FR,F,6-6,200,"Punta Gorda, FL",, 2.3 Pts,1.2 Reb,0.2 Ast
10,D'Angelo West,4,,G,6-2,180,"Jackson, MS",, 1.4 Pts,0.4 Reb,0.3 Ast
11,Patrick Bossetta,22,,F,6-3,210,,,,,
12,Von Julien,12,,G,6-1,160,"Reserve, LA",Riverside Academy,,,
13,Chris Mejia,11,,G,6-3,190,"Hialeah Gardens, FL",Mater Academy,,,
14,Maxwell Starwood,15,,F,6-7,230,"Baton Rouge, LA",Reno International Prep,,,
15,Matthew Strange,2,,G,5-11,165,,,,,
