,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Christian Keeling,11,JR,G,6-4,175,"Augusta, GA",Laney High School, 18.8 Pts,7.0 Reb,2.7 Ast
1,Dontrell Shuler,33,FR,G,6-2,180,"Columbia, SC",Legacy Charter, 10.7 Pts,2.8 Reb,1.8 Ast
2,Travis McConico,1,SR,F,6-6,200,"Jacksonville, FL",Sandalwood High School, 8.4 Pts,6.0 Reb,2.5 Ast
3,Phlandrous Fleming Jr.,24,SO,G,6-4,195,"Athens, GA",Cedar Shoals High School, 12.1 Pts,5.4 Reb,2.9 Ast
4,Ty Jones,12,SO,F,6-6,215,"Pontotoc, MS",Pontotoc High School, 7.6 Pts,3.9 Reb,1.4 Ast
5,Deontaye Buskey,4,SO,G,6-1,160,"Daphne, AL",Daphe High School, 6.5 Pts,2.1 Reb,1.8 Ast
6,Duncan LeXander,14,FR,F,6-8,205,"Davidson, NC",, 5.5 Pts,3.3 Reb,0.7 Ast
7,Nate Louis,2,JR,G,5-11,165,"Miami, FL",, 5.4 Pts,0.8 Reb,0.9 Ast
8,Timmy Sellers,13,FR,F,6-8,220,"Augusta, GA",, 2.6 Pts,2.6 Reb,0.2 Ast
9,Sadarius Bowser,22,FR,C,6-9,220,"Gaffney, SC",, 2.3 Pts,1.9 Reb,0.2 Ast
10,Sean Price,23,SO,G,6-3,200,"Port Charlotte, FL",Port Charlotte High School, 2.4 Pts,1.4 Reb,0.6 Ast
11,Jamir Moore,5,FR,G,6-5,180,"Miramar, FL",, 2.3 Pts,0.8 Reb,0.3 Ast
12,Nathan Payne,21,SO,F,6-4,180,"Pickens, SC",Pickens High School, 0.8 Pts,0.7 Reb,0.0 Ast
13,Travis Anderson,0,FR,G,6-0,175,"Loganville, GA",, 2.7 Pts,0.0 Reb,1.0 Ast
14,Brian Camacho,20,FR,G,6-0,160,"Spartanburg, SC",Spartanburg Christian Academy, 0.0 Pts,0.3 Reb,0.0 Ast
