,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Matt Lewis,1,SO,G,6-5,180,"Woodbridge, VA",Bishop O'Connell High School, 16.4 Pts,4.2 Reb,3.0 Ast
1,Stuckey Mosley,3,SR,G,6-3,190,"Orlando, FL",Timber Creek, 16.4 Pts,3.8 Reb,2.3 Ast
2,Darius Banks,5,SO,G,6-5,220,"Saint Petersburg, FL",St. Petersburg High School, 12.3 Pts,5.0 Reb,2.0 Ast
3,Dwight Wilson,24,SO,F,6-7,260,"Tallahassee, FL",Lincoln High School, 10.2 Pts,7.8 Reb,0.6 Ast
4,Deshon Parker,23,FR,G,6-3,180,"Huber Heights, OH",Wayne HS, 5.7 Pts,2.3 Reb,3.0 Ast
5,Zach Jacobs,11,SO,F,6-8,220,"Richmond, VA",Trinity Episcopal School, 3.3 Pts,3.5 Reb,0.5 Ast
6,Develle Phillips,12,SR,F,6-9,225,"Bowie, MD",Clinton Christian HS, 3.7 Pts,2.9 Reb,0.7 Ast
7,Greg Jones,10,SO,F,6-7,220,"Richmond, VA",John Marshall High School, 2.7 Pts,2.7 Reb,0.4 Ast
8,Matthew Urbach,4,FR,G,6-5,180,"Fairfax, VA",W.T. Woodson HS, 2.4 Pts,0.6 Reb,0.2 Ast
9,Antanee Pinkard,2,JR,G,6-4,195,"Lancaster, PA",J.P. McCaskey High School, 1.2 Pts,1.3 Reb,0.1 Ast
10,Alex Schulz,33,SO,F,6-11,265,"Herndon, VA",Oakton High School, 1.3 Pts,0.3 Reb,0.0 Ast
11,Jonathan Hicklin,15,FR,G,6-4,205,"Charlotte, NC",Northside Christian Academy, 1.0 Pts,0.0 Reb,0.0 Ast
12,Devon Flowers,35,FR,F,6-8,215,"Hyattsville, MD",The Potomac School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Cameron Smith,21,SR,F,6-7,210,"Tallahassee, FL",Leon High School, 0.0 Pts,0.0 Reb,0.0 Ast
