,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Chance Murray,3,JR,G,6-2,180,"Los Angeles, CA",Price HS, 12.7 Pts,5.4 Reb,3.8 Ast
1,Dikymbe Martin,15,FR,G,6-1,165,"Riverside, CA",John W. North High School, 13.6 Pts,3.6 Reb,2.8 Ast
2,Alex Larsson,21,SO,F,6-9,245,Sweden,Sodertalje Knights Club Team, 9.8 Pts,5.7 Reb,0.7 Ast
3,DJ Sylvester,1,FR,G,6-3,175,"Victorville, CA",Silverado High School, 7.7 Pts,2.9 Reb,1.0 Ast
4,Brandon Rosser,14,JR,F,6-7,220,"Temecula, CA",Temecula Valley High School, 5.9 Pts,3.6 Reb,0.9 Ast
5,Menno Dijkstra,32,FR,C,7-0,225,Netherlands,Canarias Basketball Academy, 5.7 Pts,2.7 Reb,0.5 Ast
6,Koh Flippin,24,FR,G,6-2,165,"Torrance, CA",North High School, 3.4 Pts,1.6 Reb,1.1 Ast
7,Ajani Kennedy,10,,F,6-8,200,,, 3.5 Pts,1.5 Reb,0.5 Ast
8,Idy Diallo,12,SO,C,6-11,240,"Los Angeles, CA",Cathedral HS, 2.6 Pts,3.3 Reb,0.3 Ast
9,James Jackson,25,JR,F,6-8,240,"Spring Valley, CA",Monte Vista High School, 2.2 Pts,2.2 Reb,0.8 Ast
10,Eric Rwahwire,13,FR,F,6-5,210,Canada,Saddleback Valley Christian High School, 3.1 Pts,1.6 Reb,0.3 Ast
11,Alec Hickman,0,FR,G,6-4,180,"Riverside, CA",, 2.1 Pts,1.1 Reb,0.4 Ast
12,Jayvon Brown,5,JR,G,6-1,170,"Los Angeles, CA",, 3.4 Pts,0.8 Reb,0.6 Ast
13,Dominick Pickett,22,FR,G,6-3,210,"Moreno Valley, CA",, 1.3 Pts,1.0 Reb,0.9 Ast
14,Ryker Pierce,31,,G,6-5,205,,, 1.5 Pts,0.5 Reb,0.2 Ast
15,Marcus Berkley,4,,G,6-4,170,"Garden Grove, CA",, 0.0 Pts,0.0 Reb,0.0 Ast
