,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kareem South,11,JR,G,6-2,185,"Toronto, Canada",Kiski School, 13.8 Pts,5.1 Reb,2.0 Ast
1,Jashawn Talton,4,JR,G,6-5,215,"Oklahoma City, OK",, 9.2 Pts,5.1 Reb,1.2 Ast
2,Emmanuel Toney,22,SR,G,6-2,185,"Bowie, MD",Annapolis Area Christian, 7.8 Pts,3.4 Reb,3.4 Ast
3,Tre Gray,21,SO,G,6-2,170,"Oakland, CA",El Cerrito High School, 7.1 Pts,1.0 Reb,1.1 Ast
4,Elijah Schmidt,14,JR,F,6-8,195,"Spring, TX",Klein High School, 6.0 Pts,5.4 Reb,0.9 Ast
5,Tony Lewis,35,JR,F,6-10,260,"San Antonio, TX",Central Catholic HS, 5.4 Pts,4.1 Reb,0.7 Ast
6,Jake Babic,45,SR,G,6-5,180,"Oakville, Canada",St. Ignatius of Loyola/The Kiski School, 5.3 Pts,2.6 Reb,1.4 Ast
7,Irshaad Hunte,15,JR,F,6-8,215,"Toronto, Canada",, 4.7 Pts,3.1 Reb,0.1 Ast
8,Myles Smith,2,SO,G,6-0,195,"Klein, TX",Klein High School, 10.4 Pts,3.0 Reb,2.3 Ast
9,Jalon Clark,23,FR,F,6-6,200,"Houston, TX",Houston Christian HS, 2.7 Pts,1.5 Reb,0.3 Ast
10,Kyle Brown,0,JR,G,5-10,150,"Missouri City, TX",Ridge Point High School, 1.2 Pts,0.9 Reb,1.1 Ast
11,Peyton Smith,12,SO,G,6-0,190,"Corpus Christi, TX",Veterans Memorial High School, 0.6 Pts,0.4 Reb,0.6 Ast
12,Javae Lampkins,5,SO,G,6-1,180,"Washington, DC",, 0.0 Pts,0.5 Reb,0.0 Ast
13,Perry Francois,10,JR,F,6-8,225,"North Miami, FL",North Miami Beach High School,,,
