,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Colton Weisbrod,21,SR,F,6-5,215,"Nederland, TX",Nederland, 14.7 Pts,8.0 Reb,1.8 Ast
1,Nick Garth,3,JR,G,5-11,185,"Houston, TX",Cypress Lake HS, 13.5 Pts,2.3 Reb,1.7 Ast
2,Josh Nzeakor,11,JR,F,6-6,207,"Mesquite, TX",Mesquite High School, 12.5 Pts,7.4 Reb,0.7 Ast
3,Zjori Bosha,12,SR,G,6-5,170,"Nome, TX",Hardin-Jefferson HS, 9.4 Pts,5.0 Reb,1.2 Ast
4,James Harrison,1,SR,F,6-4,210,"Houston, TX",Westfield, 8.7 Pts,2.3 Reb,0.7 Ast
5,Joey Frenchwood,32,SR,G,6-1,175,"Newark, CA",Memorial, 7.5 Pts,2.5 Reb,4.2 Ast
6,Torey Noel,10,SR,G,5-10,190,"Oklahoma City, OK",Midwest City High School, 3.9 Pts,1.7 Reb,2.8 Ast
7,Tyrin Atwood,15,SO,G,6-6,203,"Beaumont, TX",Beaumont Central High School, 4.3 Pts,2.6 Reb,0.8 Ast
8,Jordan Foster,23,FR,C,6-9,225,"Lafayette, LA",, 2.5 Pts,2.6 Reb,0.1 Ast
9,Avery Sullivan,5,FR,F,6-8,220,"Pflugerville, TX",, 1.3 Pts,1.6 Reb,0.3 Ast
10,Da'Shawn Robinson,20,,G,6-4,200,"Houston, TX",Alief Elsik High School, 1.5 Pts,0.8 Reb,0.6 Ast
11,Cannon Broussard,25,FR,G,6-1,170,"Beaumont, TX",, 2.2 Pts,0.0 Reb,0.0 Ast
12,Vince Holmes,,,G,6-4,185,"Jupiter, FL",Oxbridge Academy of the Palm Beaches,,,
13,Jordan Hunter,,,G,5-11,180,"Beaumont, TX",Ozen High School,,,
14,Michael Kolawole,,,G,6-5,195,"Rowlett, TX",Rowlett (TX),,,
15,Laquarious Paige,,,G,6-3,180,"West Orange, TX",Stark HS,,,
