,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Justin Robinson,5,JR,G,6-1,180,"Manassas, VA",St. James School, 13.8 Pts,2.8 Reb,5.6 Ast
1,Kerry Blackshear Jr.,24,JR,F,6-10,240,"Orlando, FL",Maynard Evans HS, 12.6 Pts,6.1 Reb,1.3 Ast
2,Justin Bibbs,10,SR,G,6-5,220,"Dayton, OH",Montverde Academy (FL), 13.1 Pts,2.5 Reb,1.6 Ast
3,Ahmed Hill,13,JR,G,6-5,195,"Augusta, GA",Aquinas HS, 10.8 Pts,3.0 Reb,0.9 Ast
4,Nickeil Alexander-Walker,4,FR,G,6-5,210,Canada,, 10.5 Pts,3.9 Reb,1.4 Ast
5,Chris Clarke,15,JR,F,6-6,205,"Virginia Beach, VA",Cape Henry Collegiate school, 8.3 Pts,6.5 Reb,3.0 Ast
6,P.J. Horne,14,FR,F,6-5,215,"Tifton, GA",, 4.6 Pts,2.3 Reb,0.1 Ast
7,Devin Wilson,11,SR,G,6-4,190,"Mckees Rocks, PA",Montour HS, 2.9 Pts,1.9 Reb,1.8 Ast
8,Tyrie Jackson,1,SO,G,6-1,205,"Tifton, GA",, 3.0 Pts,1.5 Reb,0.4 Ast
9,Wabissa Bede,3,FR,G,6-1,195,"North Andover, MA",, 2.3 Pts,0.9 Reb,0.8 Ast
10,Justin Ammerman,22,JR,G,6-3,185,"West Chester, PA",, 0.4 Pts,0.0 Reb,0.0 Ast
11,Nicholas Fullard,21,SR,F,6-10,235,"La Plata, MD",, 0.0 Pts,0.1 Reb,0.0 Ast
12,Ty Outlaw,42,,G,6-6,220,"Roxboro, NC",Person County High School,,,
13,Khadim Sy,2,,F,6-10,240,,Oak Hill Academy,,,
