,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Xavier Hill-Mais,14,JR,F,6-7,248,"Greensboro, NC",Page, 18.3 Pts,7.2 Reb,2.5 Ast
1,Jaevin Cumberland,21,JR,G,6-3,185,"Wilmington, OH",Wilmington HIgh School, 17.2 Pts,2.9 Reb,3.5 Ast
2,Brad Brechting,13,JR,C,6-11,217,"Cedar Springs, MI",Cedar Springs, 9.5 Pts,5.9 Reb,1.2 Ast
3,Karmari Newman,10,SO,G,6-4,170,"Detroit, MI",East English Village Preparatory Academy, 9.4 Pts,2.5 Reb,1.2 Ast
4,Braden Norris,1,FR,G,5-11,180,"Hilliard, OH",Hilliard Bradley HS, 8.4 Pts,2.8 Reb,5.3 Ast
5,Tray Maddox,2,FR,G,6-4,190,"Novi, MI",Novi HS, 6.7 Pts,2.4 Reb,1.6 Ast
6,James Beck,22,SO,F,6-8,210,"Grand Rapids, MI",Grand Rapids Christian High School, 4.6 Pts,4.2 Reb,0.9 Ast
7,Jordan Nobles,15,SR,F,6-9,195,"Canton, MI",Canton High School, 6.6 Pts,3.0 Reb,2.7 Ast
8,Brailen Neely,11,JR,G,5-9,154,"Detroit, MI",Western International High School, 6.0 Pts,2.3 Reb,5.7 Ast
9,Stan Scott,4,SO,G,6-3,180,"Williamsport, PA",Williamsport Area High School, 0.9 Pts,0.7 Reb,0.1 Ast
10,Kenny Pittman,24,FR,G,6-3,165,"Chicago, IL",Simeon HS, 0.5 Pts,0.4 Reb,0.3 Ast
11,Babatunde Sowunmi,20,FR,C,6-10,245,"Fayetteville, GA",Solid Rock Academy, 0.3 Pts,0.3 Reb,0.1 Ast
