,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Grant Riller,1,JR,G,6-3,190,"Orlando, FL",Ocoee HS, 21.9 Pts,3.4 Reb,4.1 Ast
1,Jarrell Brantley,5,SR,F,6-7,255,"Columbia, SC",Notre Dame Prep HS, 19.4 Pts,8.4 Reb,2.4 Ast
2,Brevin Galloway,2,SO,G,6-2,215,"Anderson, SC",Seneca High School, 7.9 Pts,2.4 Reb,0.9 Ast
3,Zep Jasper,10,FR,G,6-1,170,"Augusta, GA",, 5.4 Pts,2.2 Reb,1.3 Ast
4,Jaylen McManus,24,JR,F,6-7,235,"Charlotte, NC",North Mecklenburg High School, 4.7 Pts,3.8 Reb,0.3 Ast
5,Jaylen Richard,0,FR,G,6-4,180,"Durham, NC",, 4.1 Pts,1.4 Reb,0.4 Ast
6,Marquise Pointer,21,SR,G,6-0,210,"Jonesboro, AR",Jonesboro Senior HS, 4.8 Pts,2.0 Reb,2.3 Ast
7,Sam Miller,3,JR,F,6-9,240,"Arlington, VA",Gonzaga College HS, 4.7 Pts,2.5 Reb,0.5 Ast
8,Nick Harris,23,SR,F,6-10,270,"Dacula, GA",St. Pius X Catholic HS, 3.2 Pts,3.6 Reb,0.2 Ast
9,Isaih Moore,11,FR,F,6-9,180,"Columbia, SC",, 2.8 Pts,2.1 Reb,0.2 Ast
10,Samba Ndiaye,40,SO,C,6-9,235,"Theis, Senegal",Sunrise Christian Academy, 2.0 Pts,0.7 Reb,0.0 Ast
11,Quan McCluney,13,FR,G,6-5,180,"Gastonia, NC",Gaston Day School, 1.3 Pts,0.3 Reb,0.0 Ast
12,Osinachi Smart,33,SO,F,6-8,235,"Umuahia, Nigeria",New Garden Friends School, 0.2 Pts,1.6 Reb,0.0 Ast
13,Jermaine Blackmon Jr.,22,SR,F,6-2,240,"Charlotte, NC",Davidson Day School, 0.0 Pts,0.0 Reb,0.0 Ast
14,Trent Robinson,15,SR,G,5-11,180,"Columbia, SC",Ridgeview High School, 0.0 Pts,1.0 Reb,0.0 Ast
15,Zach Rabinowitz,31,JR,G,6-2,200,"Charlotte, NC",,,,
