,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Terry Taylor,21,SO,G,6-5,217,"Bowling Green, KY",Bowling Green High School, 20.5 Pts,8.9 Reb,1.7 Ast
1,Chris Porter-Bunton,3,SR,F,6-5,217,"Bowling Green, KY",Warren Central HS, 13.6 Pts,4.9 Reb,2.0 Ast
2,Steve Harris,23,SR,G,6-4,180,"St. Louis, MO",Webster Groves (MO), 10.5 Pts,2.9 Reb,2.6 Ast
3,Zach Glotta,25,SR,G,6-0,185,"O' Fallon, MO",Fort Zumwalt North HS, 9.1 Pts,1.5 Reb,1.6 Ast
4,Jabari McGhee,15,SR,F,6-7,215,"Albany, GA",Hargrave Military Academy (VA), 9.1 Pts,6.9 Reb,0.9 Ast
5,Jarrett Givens,10,SR,G,6-5,195,"Tempe, AZ",, 7.2 Pts,3.5 Reb,0.9 Ast
6,Dayton Gumm,4,SO,G,6-2,172,"Bowling Green, KY",Warren Central High School, 8.9 Pts,3.1 Reb,1.6 Ast
7,Antwuan Butler,1,FR,G,6-0,165,"Philadelphia, PA",Cardinal O'Hara HS, 3.7 Pts,2.0 Reb,2.6 Ast
8,Isaiah Hart,0,JR,G,6-2,167,"Murfreesboro, TN",, 3.6 Pts,1.4 Reb,0.8 Ast
9,Ivan Cucak,33,SO,C,7-0,235,"Kitchener, Canada",Hargrave Military Academy, 3.1 Pts,1.9 Reb,0.5 Ast
10,Richard Henderson,22,SO,F,6-6,220,"Maryland Heights, MO",Pattonville High School, 1.7 Pts,1.4 Reb,0.3 Ast
11,Matheus Silveira,24,FR,C,7-0,233,"Tres Pontas, Brazil",Calusa Prep, 2.4 Pts,2.1 Reb,0.4 Ast
12,Jashaun Garrison,2,FR,G,5-10,175,"Rota, Spain",DME Academy, 0.0 Pts,0.0 Reb,2.0 Ast
13,Eli Abaev,14,JR,G,6-8,210,"Deerfield Beach, FL",,,,
