,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Stanley Davis,0,JR,G,6-4,185,"Chester, PA",STEM Academy, 12.5 Pts,7.1 Reb,1.7 Ast
1,Sheryn Devonish-Prince Jr.,5,FR,G,6-1,160,"Bladensburg, MD",Wise HS, 10.7 Pts,2.1 Reb,2.2 Ast
2,Kyson Rawls,4,SO,G,6-1,190,"New Castle, DE",St. Georges Technical High School, 8.0 Pts,1.7 Reb,1.3 Ast
3,David Syfax,32,JR,F,6-7,205,"Detroit, MI",Pershing High School, 7.6 Pts,4.6 Reb,0.5 Ast
4,Martez Cameron,2,SR,G,5-11,185,"Chicago, IL",Montverde Academy (IL), 7.3 Pts,2.6 Reb,3.7 Ast
5,Isaiah Burke,15,FR,G,6-1,175,"Annapolis, MD",Bowie HS, 9.3 Pts,1.3 Reb,0.6 Ast
6,Malik Miller,11,FR,G,6-4,185,"Washington, DC",Friendship Tech Prep, 5.6 Pts,3.7 Reb,0.9 Ast
7,Jordan Little,23,JR,F,6-8,240,"Jersey City, NJ",, 4.0 Pts,3.1 Reb,0.1 Ast
8,Tyler Streeter,13,SR,G,6-4,190,"Chicago, IL",St. Francis de Sales HS, 4.0 Pts,1.3 Reb,0.3 Ast
9,Lapri McCray-Pace,1,SO,G,6-4,210,"Philadelphia, PA",Conwell-Egan Catholic High School, 3.1 Pts,2.2 Reb,0.4 Ast
10,Antonio Gillespie,10,SR,G,6-0,170,"Memphis, TN",Central HS, 3.4 Pts,0.7 Reb,0.5 Ast
11,Victor Curry,3,JR,F,6-8,215,"Chicago, IL",, 2.5 Pts,3.1 Reb,0.2 Ast
12,Ranell Bell,12,JR,G,6-3,205,"Morristown, NJ",, 1.0 Pts,0.0 Reb,0.0 Ast
13,Taron Oliver Jr.,24,JR,F,6-9,250,"District Heights, MD",, 0.7 Pts,0.7 Reb,0.3 Ast
