,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tyler Seibring,41,SR,F,6-9,225,"Normal, IL",Normal Community HS, 16.5 Pts,5.9 Reb,1.5 Ast
1,Steve Santa Ana,22,SR,G,6-4,190,"Charlotte, NC",Ardrey Kell, 16.0 Pts,6.3 Reb,2.7 Ast
2,Sheldon Eberhardt,20,SR,G,6-5,190,"Pforzheim, Germany",Middle Creek HS, 10.3 Pts,3.0 Reb,3.2 Ast
3,Nathan Priddy,12,SO,G,6-2,185,"Argyle, TX",Argyle High School, 7.3 Pts,2.8 Reb,2.5 Ast
4,Kris Wooten,0,FR,G,6-3,190,"Kinston, NC",Arendell Parrott Academy, 5.4 Pts,1.7 Reb,1.2 Ast
5,Chuck Hannah,1,FR,F,6-6,230,"Boston, MA",Northfield Mount Hermon HS, 4.5 Pts,2.8 Reb,0.6 Ast
6,Federico Poser,5,FR,F,6-8,230,"Mareno di Piave, Italy",, 3.8 Pts,2.8 Reb,1.0 Ast
7,Andy Pack,21,FR,G,6-4,200,"Summerfield, NC",Northern Guilford HS, 3.5 Pts,1.9 Reb,0.8 Ast
8,Simon Wright,33,SO,F,6-7,215,"Minneapolis, MN",Hopkins High School, 1.9 Pts,1.8 Reb,0.6 Ast
9,Karolis Kundrotas,10,SR,F,6-11,240,"Kaunas, Lithuania",Barking Abbey, 2.1 Pts,2.3 Reb,0.4 Ast
10,Dainan Swoope,13,SR,G,6-0,185,"Overland Park, KS",Sunrise Christian Academy, 8.0 Pts,1.4 Reb,2.2 Ast
11,Seth Fuller,3,SO,G,5-11,180,"Dublin, OH",Dublin Coffman High School, 1.7 Pts,1.1 Reb,0.6 Ast
12,Christian Scott,15,SO,G,6-1,170,"New Orleans, LA",St. Andrew's Episcopal School (Miss.), 0.5 Pts,0.5 Reb,0.0 Ast
13,Maxwell Chester,11,JR,G,6-1,190,"Atlanta, GA",Woodward Academy, 0.0 Pts,1.0 Reb,0.0 Ast
14,Duje Radja,42,SO,F,6-8,235,"Split, Croatia",Kimball Union Academy, 0.0 Pts,1.0 Reb,0.0 Ast
15,John Stubbs,30,FR,G,6-4,190,"Houston, TX",The Woodlands HS,,,
