,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Damiyne Durham,23,JR,G,6-4,175,"Oakwood, TX",Oakwood HS, 12.3 Pts,2.9 Reb,1.4 Ast
1,Rickey Holden,2,JR,G,5-10,170,"Laurel, MS",, 10.8 Pts,2.7 Reb,2.8 Ast
2,Jarkell Joiner,0,FR,G,6-1,170,"Oxford, MS",, 10.4 Pts,3.4 Reb,0.7 Ast
3,Shon Briggs,13,SR,F,6-6,200,"Brentwood, CA",Heritage High Shcool, 10.3 Pts,5.5 Reb,1.9 Ast
4,Moataz Aly,22,SR,C,6-10,205,Egypt,Sunrise Christian Academy, 7.9 Pts,3.2 Reb,0.2 Ast
5,Justin Davis,10,FR,G,6-4,180,"San Diego, CA",, 7.7 Pts,5.5 Reb,0.8 Ast
6,Brent Wrapp,1,SR,G,6-3,175,"Boulder, CO",Fairview, 3.5 Pts,4.6 Reb,5.1 Ast
7,Fallou Ndoye,15,SR,C,6-11,220,Senegal,Findley Prep, 2.8 Pts,3.2 Reb,0.1 Ast
8,Greg Lee,21,FR,F,6-8,200,"Rockford, IL",, 2.2 Pts,1.8 Reb,0.4 Ast
9,Justin McCall,11,FR,G,6-5,205,"Bakersfield, CA",, 1.3 Pts,1.5 Reb,0.2 Ast
10,Bray Barnes,24,JR,F,6-5,180,"Bakersfield, CA",Bakersfield Liberty HS, 1.7 Pts,0.6 Reb,0.2 Ast
11,James Suber,4,SR,F,6-6,210,"Philadelphia, PA",Philadelphia Electric and Tech Charter, 0.0 Pts,0.3 Reb,0.0 Ast
12,Jeremiah Dickerson,5,,G,5-10,150,,,,,
13,Taze Moore,3,,F,6-5,180,"Southaven, MS",Southaven High school,,,
14,Darrin Person Jr.,25,,F,6-6,215,,,,,
15,Cartrell Thompson,35,,F,6-8,195,,,,,
