,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Donovan Fields,3,SR,G,5-10,160,"Newburgh, NY",Concord Prep Academy, 17.0 Pts,2.5 Reb,4.1 Ast
1,Marcellus Garrick,11,SR,G,6-4,190,"Columbia, SC",Wagner High School, 11.8 Pts,2.9 Reb,0.7 Ast
2,Mark Crowe,5,SO,F,6-5,205,"Dallas, TX",Woodrow Wilson High School, 10.0 Pts,4.6 Reb,1.4 Ast
3,Jakub Niziol,35,SR,F,6-7,210,"Wroclaw, Poland",Howard College, 6.6 Pts,3.6 Reb,1.1 Ast
4,Job Alexander,1,JR,G,6-4,200,"Milwaukee, WI",, 5.1 Pts,2.0 Reb,1.5 Ast
5,Hank Hollingsworth,30,JR,F,6-10,235,"Chelan, WA",Chelan HS, 4.6 Pts,4.6 Reb,0.1 Ast
6,Daxton Carr,13,FR,F,6-7,200,"Pocatello, IN",Highland HS, 3.4 Pts,2.9 Reb,0.5 Ast
7,Junior Ballard,24,FR,G,6-3,200,"Stockton, CA",Modesto Christian School, 5.1 Pts,2.7 Reb,0.5 Ast
8,Tuukka Jaakkola,14,FR,F,6-10,240,"Helsinki, Finland",Helsinki Basketball Academy, 2.9 Pts,2.3 Reb,0.5 Ast
9,Karlis Garoza,23,SO,F,6-9,230,"Saldus, Latvia",Liepaja Secondary School, 2.7 Pts,4.0 Reb,0.3 Ast
10,Jared Rice,10,FR,G,5-10,180,"Modesto, CA",Central Catholic HS, 2.7 Pts,0.8 Reb,0.5 Ast
11,Colin McCarthy,22,FR,G,6-3,190,"Redwood City, CA",Serra HS, 0.0 Pts,0.0 Reb,0.0 Ast
12,Kyle Colvin,33,FR,F,6-6,200,"San Luis Obispo, CA",Mission Prep HS,,,
13,Keith Smith,0,SR,G,6-0,170,"Danville, CA",Montverde Academy,,,
14,Nolan Taylor,31,SR,F,6-7,260,"Keller, TX",Keller Central High School,,,
