,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Montell Goodwin,4,SR,G,6-2,190,"Cleveland, OH",Warrensville Heights High School, 15.0 Pts,3.4 Reb,3.3 Ast
1,Mack Smith,3,FR,G,6-2,185,"Indianapolis, IN",, 12.4 Pts,3.8 Reb,1.4 Ast
2,Muusa Dama,25,SR,F,6-9,225,Benin,Marantha Academy, 9.9 Pts,6.3 Reb,1.2 Ast
3,Jajuan Starks,24,JR,C,6-4,215,"Fort Wayne, IN",, 8.7 Pts,4.0 Reb,0.8 Ast
4,Ray Crossland,5,SR,C,6-6,220,"St. Louis, MO",Hazelwood Central High School, 7.8 Pts,4.7 Reb,1.3 Ast
5,D'Angelo Jackson,1,,G,6-4,210,,, 7.6 Pts,3.2 Reb,2.2 Ast
6,Terrell Lewis,2,SR,G,5-7,150,"St. Louis, MO",Ladue HS, 9.0 Pts,2.4 Reb,4.8 Ast
7,DeVantae Price,21,,G,6-2,190,"Tamms, IL",Egyptian High School, 2.9 Pts,2.1 Reb,0.4 Ast
8,Justice Green,12,JR,C,6-5,180,"Tuscaloosa, AL",, 2.5 Pts,0.9 Reb,0.2 Ast
9,Lucas Jones,40,JR,F,6-8,205,"Prairie Village, KS",Shawnee Mission East HS, 1.8 Pts,2.0 Reb,0.7 Ast
10,Michael Chavers,10,JR,C,6-5,185,"Los Angeles, CA",, 3.1 Pts,2.2 Reb,0.6 Ast
11,Aboubacar Diallo,55,JR,F,6-8,200,Ivory Coast,St. Louis Christian Academy, 1.0 Pts,3.0 Reb,0.5 Ast
12,Logan Koch,11,,G,6-1,200,"Shawnee, KS",Mill Valley High School, 2.3 Pts,1.0 Reb,1.1 Ast
13,Shawn Wilson,13,SO,G,5-11,165,"Harvey, IL",, 0.8 Pts,0.2 Reb,1.0 Ast
