,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tres Tinkle,3,SO,F,6-8,220,"Missoula, MT",Hellgate HS, 17.6 Pts,7.2 Reb,3.7 Ast
1,Stephen Thompson Jr.,1,JR,G,6-4,170,"Los Angeles, CA",Bishop Montgomery HS, 15.8 Pts,3.1 Reb,3.3 Ast
2,Drew Eubanks,12,JR,F,6-10,240,"Troutdale, OR",Reynolds HS, 13.2 Pts,6.8 Reb,1.1 Ast
3,Ethan Thompson,5,FR,G,6-5,190,"Los Angeles, CA",, 9.9 Pts,4.1 Reb,3.5 Ast
4,Alfred Hollins,4,FR,F,6-6,195,"San Francisco, CA",, 5.8 Pts,2.6 Reb,0.5 Ast
5,Seth Berger,32,SR,F,6-7,210,"Seattle, WA",Ballard HS, 3.0 Pts,2.3 Reb,0.9 Ast
6,Kendal Manuel,24,SO,G,6-4,180,"Billings, MT",Skyview HS, 2.6 Pts,1.2 Reb,0.3 Ast
7,Gligorije Rakocevic,23,JR,C,6-11,250,Montenegro,Cantwell-Sacred Heart of Mary HS, 2.7 Pts,2.2 Reb,0.3 Ast
8,Zach Reichle,11,FR,G,6-5,195,"Wilsonville, OR",, 1.7 Pts,1.3 Reb,0.5 Ast
9,Ronnie Stacy,2,SR,G,6-4,195,"Alexander City, AL",Benjamin Russel HIgh School, 1.7 Pts,1.2 Reb,0.6 Ast
10,Jaquori McLaughlin,0,SO,G,6-4,185,"Gig Harbor, WA",Peninsula High School, 2.7 Pts,2.7 Reb,3.7 Ast
11,Ben Kone,34,,F,6-8,235,"San Jose, CA",Archbishop Mitty High School, 0.4 Pts,1.3 Reb,0.0 Ast
12,Xavier Smith,22,FR,G,6-4,180,"Seattle, WA",, 0.9 Pts,0.0 Reb,0.1 Ast
13,Tanner Sanders,15,JR,G,6-4,201,"Corvallis, OR",Crescent Valley, 0.0 Pts,0.3 Reb,0.0 Ast
14,Isaac Barnes,44,,F,6-8,225,,,,,
15,Cheikh N'diaye,31,,C,7-0,240,Senegal,Army-Navy Academy,,,
