,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Anthony Cowan,1,JR,G,6-0,170,"Bowie, MD",St. John's College High School, 16.0 Pts,3.7 Reb,4.3 Ast
1,Bruno Fernando,23,SO,F,6-10,240,"Luanda, ",IMG Academy, 13.7 Pts,10.4 Reb,2.0 Ast
2,Jalen Smith,25,FR,F,6-10,215,"Baltimore, MD",, 11.4 Pts,6.6 Reb,0.9 Ast
3,Eric Ayala,5,FR,G,6-5,205,"Wilmington, DE",IMG Academy, 8.5 Pts,2.8 Reb,2.2 Ast
4,Aaron Wiggins,2,FR,G,6-6,200,"Greensboro, NC",Wesleyan Christian Academy, 8.3 Pts,3.3 Reb,0.8 Ast
5,Darryl Morsell,11,SO,G,6-5,200,"Baltimore, MD",Mount Saint Joseph College, 8.1 Pts,3.1 Reb,1.8 Ast
6,Serrel Smith Jr,10,FR,G,6-4,170,"St. Petersburg, FL",, 3.7 Pts,1.3 Reb,0.5 Ast
7,Ricky Lindo,14,FR,F,6-8,200,"Washington, DC",, 1.7 Pts,3.7 Reb,0.4 Ast
8,Ivan Bender,13,SR,F,6-9,228,"Capljina, Bosnia and Herzegovina",Elektrotehnicka Skola, 0.3 Pts,0.8 Reb,0.3 Ast
9,Joshua Tomaic,0,SO,F,6-9,235,"Lanzarote, Spain",Canarias Basketball Academy, 0.3 Pts,0.9 Reb,0.0 Ast
10,Travis Valmon,20,JR,G,6-1,175,"Rockville, MD",Gerogetown Preparatory School, 0.8 Pts,0.2 Reb,0.2 Ast
11,Reese Mona,12,SO,G,6-2,180,"La Plata, MD",St. John's College High School, 0.3 Pts,0.3 Reb,0.4 Ast
12,Andrew Terrell,4,SR,G,5-10,190,"Indianapolis, IN",Brebeuf Jesuit HS, 0.3 Pts,0.0 Reb,0.0 Ast
13,Trace Ramsey,24,FR,F,6-7,200,"Valparaiso, IN",, 0.2 Pts,0.2 Reb,0.0 Ast
14,Will Clark,15,JR,F,6-8,195,"Baltimore, MD",, 0.0 Pts,0.0 Reb,0.0 Ast
