,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Devontae Cacok,15,SR,F,6-7,240,"Riverdale, GA",Alpharetta HS, 15.1 Pts,12.3 Reb,0.6 Ast
1,Jeantal Cylla,2,JR,F,6-7,215,"Lake Worth, FL",Lake Worth HS, 13.7 Pts,4.6 Reb,0.5 Ast
2,Ty Gadsden,0,SO,G,6-1,165,"Charlotte, NC",, 11.5 Pts,1.4 Reb,2.3 Ast
3,Kai Toews,10,FR,G,6-2,180,"Tokyo, Japan",Northfield Mount Hermon HS, 8.8 Pts,2.6 Reb,7.7 Ast
4,Jay Estime',12,SO,G,6-5,190,"Lilburn, GA",Berkmar High School, 7.5 Pts,2.5 Reb,1.5 Ast
5,Jaylen Fornes,1,JR,G,6-3,210,"Pamlico County, NC",Word of God Christian Academy, 7.2 Pts,2.5 Reb,0.7 Ast
6,Jaylen Sims,30,FR,G,6-6,190,"Charlotte, NC",United Faith Christian HS, 5.7 Pts,3.0 Reb,0.9 Ast
7,Ty Taylor II,21,JR,G,6-3,170,"Grandview, MO",Grandview HS, 5.0 Pts,2.2 Reb,1.0 Ast
8,Shawn O'Connell,4,SR,F,6-8,205,"Roswell, GA",Milton (GA), 3.4 Pts,3.9 Reb,0.1 Ast
9,Jacque Brown,13,SR,G,5-10,150,"Beaufort, NC",East Carteret High School, 3.3 Pts,0.0 Reb,0.0 Ast
10,Matt Elmore,20,SO,F,6-8,250,"Jacksonville, NC",Dixon High School, 0.9 Pts,0.5 Reb,0.0 Ast
11,Daniel Etoroma,22,SR,G,6-6,210,"Raleigh, NC",Mt. Zion Christian Academy, 0.4 Pts,0.1 Reb,0.0 Ast
12,Brent Jenkins,14,FR,G,6-5,195,"Elizabeth City, NC",, 0.0 Pts,0.0 Reb,0.0 Ast
13,Trey Kalina,33,SR,C,7-0,264,"Gadsden, AL",North Cobb Christian School, 0.0 Pts,0.7 Reb,0.0 Ast
14,Jeffrey Gary,5,SO,G,6-4,175,"Austin, TX",Sand Creek High School,,,
15,Marten Linssen,,SO,F,6-8,240,"Dusseldorf, Germany",Schloss-Gymnasium Benrath,,,
