,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Max Mahoney,51,JR,F,6-8,235,"Basking Ridge, NJ",Ridge Hill School, 16.5 Pts,6.6 Reb,1.7 Ast
1,Tyler Scanlon,2,JR,F,6-7,215,"Centreville, VA",Westfield High School, 13.8 Pts,5.0 Reb,3.3 Ast
2,Javante McCoy,30,SO,G,6-5,180,"Milwaukee, WI",Phillips Exeter Academy, 12.1 Pts,3.1 Reb,2.3 Ast
3,Alex Vilarino,3,FR,G,6-2,180,"McKinney, TX",, 6.8 Pts,2.1 Reb,1.9 Ast
4,Jonas Harper,15,FR,G,6-2,190,"Stamford, CT",St. Luke's School, 5.2 Pts,1.4 Reb,0.5 Ast
5,Andrew Petcash,14,SO,G,6-4,200,"Pittsburgh, PA",Richland High School, 4.6 Pts,1.1 Reb,0.6 Ast
6,Jack Hemphill,32,FR,F,6-9,230,"Raleigh, NC",, 3.9 Pts,2.2 Reb,0.3 Ast
7,Jordan Guest,0,FR,F,6-8,215,"Rancho Santa Margarita, CA",, 5.2 Pts,3.5 Reb,0.4 Ast
8,Sukhmail Mathon,41,SO,F,6-10,225,"Shavertown, PA",Holderness School, 3.2 Pts,3.6 Reb,0.9 Ast
9,Fletcher Tynen,35,FR,G,6-7,195,"Torrance, CA",, 2.8 Pts,1.8 Reb,0.3 Ast
10,Garrett Pascoe,1,FR,G,6-3,180,"Concord, CA",Clayton Valley Charter, 2.4 Pts,1.1 Reb,1.9 Ast
11,Kamali Chambers,24,SR,G,5-11,180,"Golden Valley, MN",Brewster Academy, 0.8 Pts,0.8 Reb,0.6 Ast
12,Adam Mikula,25,JR,G,6-2,185,"East Boston, MA",, 0.0 Pts,0.5 Reb,0.0 Ast
13,Walter Whyte,5,SO,G,6-6,210,"New Haven, CT",St. Luke's School,,,
