,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jon Elmore,33,SR,G,6-3,187,"Charleston, WV",George Washington High School, 20.2 Pts,4.8 Reb,5.1 Ast
1,C.J. Burks,14,SR,G,6-4,185,"Martinsburg, WV",Hedgesville HS, 17.1 Pts,3.8 Reb,2.7 Ast
2,Taevion Kinsey,1,FR,G,6-5,177,"Columbus, OH",Eastmoor Academy, 10.2 Pts,3.8 Reb,1.3 Ast
3,Jannson Williams,3,SO,F,6-9,215,"Newnan, GA",Newnan High School, 9.4 Pts,4.9 Reb,0.4 Ast
4,Rondale Watson,23,SR,G,6-4,187,"Lewisburg, WV",Greenbriar East HS, 7.5 Pts,4.1 Reb,2.2 Ast
5,Jarrod West,13,SO,G,5-11,185,"Clarksburg, WV",Notre Dame High School, 5.9 Pts,2.6 Reb,1.8 Ast
6,Darius George,21,SO,F,6-7,215,"Staunton, VA",Robert E. Lee High School, 5.2 Pts,2.9 Reb,0.4 Ast
7,Mikel Byers,31,SO,F,6-9,215,"Houston, TX",, 3.0 Pts,1.7 Reb,0.4 Ast
8,Iran Bennett,2,FR,F,6-9,350,"Durham, NC",Hargrave Military Academy, 4.3 Pts,2.5 Reb,0.3 Ast
9,Christian Thieneman,0,JR,F,6-5,215,"Louisville, KY",Trinity HS, 1.4 Pts,0.7 Reb,0.2 Ast
10,Ante Sustic,12,JR,F,6-10,230,"Split, Croatia",, 0.8 Pts,1.4 Reb,0.1 Ast
11,DeAundra Murphy,4,FR,G,6-3,169,"Huntington, WV",St. Joe HS, 0.0 Pts,0.3 Reb,0.0 Ast
12,Luke Thomas,11,FR,G,6-0,176,"Proctorville, OH",Fairland HS, 0.0 Pts,0.0 Reb,0.1 Ast
13,Cam Brooks-Harris,24,FR,F,6-6,170,"Zanesville, OH",Zanesville HS,,,
14,Jeremy Dillon,5,FR,G,6-5,198,"Mingo, WV",Mingo Central HS,,,
15,Wilhelm Von Arndt,25,FR,G,6-0,175,"Stockholm, Sweden",,,,
