,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",7:00p,REG,,Presbyterian,Big South,W,85,73,,1,0,W 1,TD Arena
1,2,"Sat, Nov 10, 2018",12:00p,REG,@,Western Carolina,Southern,W,77,74,,2,0,W 2,Ramsey Center
2,3,"Tue, Nov 13, 2018",7:00p,REG,,Rhode Island,A-10,W,66,55,,3,0,W 3,TD Arena
3,4,"Sun, Nov 18, 2018",4:00p,REG,@,Oklahoma State,Big 12,L,58,70,,3,1,L 1,Gallagher-Iba Arena
4,5,"Thu, Nov 22, 2018",7:00p,REG,N,Louisiana State (19),SEC,L,55,67,,3,2,L 2,HP Field House
5,6,"Fri, Nov 23, 2018",7:00p,REG,N,Alabama-Birmingham,CUSA,W,74,51,,4,2,W 1,HP Field House
6,7,"Sun, Nov 25, 2018",6:30p,REG,N,Memphis,AAC,W,78,75,,5,2,W 2,HP Field House
7,8,"Wed, Nov 28, 2018",7:00p,REG,,South Carolina State,MEAC,W,83,70,,6,2,W 3,TD Arena
8,9,"Sat, Dec 1, 2018",4:00p,REG,,Charlotte,CUSA,W,72,64,,7,2,W 4,TD Arena
9,10,"Sun, Dec 9, 2018",2:00p,REG,,Georgia College,,W,87,69,,8,2,W 5,TD Arena
10,11,"Sat, Dec 15, 2018",4:00p,REG,@,Virginia Commonwealth,A-10,W,83,79,,9,2,W 6,Stuart Siegel Center
11,12,"Tue, Dec 18, 2018",7:00p,REG,@,Siena,MAAC,W,83,58,,10,2,W 7,Times Union Center 
12,13,"Fri, Dec 21, 2018",7:00p,REG,,Coastal Carolina,Sun Belt,W,73,71,,11,2,W 8,TD Arena
13,14,"Sat, Dec 29, 2018",7:00p,REG,@,North Carolina-Wilmington,CAA,W,73,66,,12,2,W 9,Trask Coliseum
14,15,"Thu, Jan 3, 2019",7:00p,REG,@,Towson,CAA,W,67,55,,13,2,W 10,SECU Arena
15,16,"Sat, Jan 5, 2019",4:00p,REG,@,James Madison,CAA,L,58,69,,13,3,L 1,JMU Convocation Center
16,17,"Thu, Jan 10, 2019",7:00p,REG,,Drexel,CAA,L,78,79,,13,4,L 2,TD Arena
17,18,"Sat, Jan 12, 2019",4:00p,REG,,Delaware,CAA,W,71,58,,14,4,W 1,TD Arena
18,19,"Thu, Jan 17, 2019",7:00p,REG,@,Northeastern,CAA,L,60,69,,14,5,L 1,Matthews Arena
19,20,"Sat, Jan 19, 2019",4:00p,REG,@,Hofstra,CAA,L,72,86,,14,6,L 2,Mack Sports Complex
20,21,"Thu, Jan 24, 2019",7:00p,REG,,Elon,CAA,W,72,53,,15,6,W 1,TD Arena
21,22,"Sat, Jan 26, 2019",4:00p,REG,,William & Mary,CAA,W,74,59,,16,6,W 2,TD Arena
22,23,"Thu, Jan 31, 2019",7:00p,REG,,James Madison,CAA,W,70,53,,17,6,W 3,TD Arena
23,24,"Sat, Feb 2, 2019",4:00p,REG,,Towson,CAA,W,54,53,,18,6,W 4,TD Arena
24,25,"Thu, Feb 7, 2019",7:00p,REG,@,Delaware,CAA,W,83,75,,19,6,W 5,Bob Carpenter Center
25,26,"Sat, Feb 9, 2019",4:00p,REG,@,Drexel,CAA,W,86,84,,20,6,W 6,Daskalakis Athletic Center
26,27,"Thu, Feb 14, 2019",7:00p,REG,,Hofstra,CAA,L,95,99,,20,7,L 1,TD Arena
27,28,"Sat, Feb 16, 2019",4:00p,REG,,Northeastern,CAA,W,88,79,OT,21,7,W 1,TD Arena
28,29,"Thu, Feb 21, 2019",7:00p,REG,@,William & Mary,CAA,L,84,86,OT,21,8,L 1,Kaplan Arena at William and Mary Hall
29,30,"Sat, Feb 23, 2019",7:00p,REG,@,Elon,CAA,W,84,74,,22,8,W 1,Schar Center
30,31,"Sat, Mar 2, 2019",4:00p,REG,,North Carolina-Wilmington,CAA,W,70,61,,23,8,W 2,TD Arena
31,32,"Sun, Mar 10, 2019",8:30p,CTOURN,N,Drexel,CAA,W,73,61,,24,8,W 3,North Charleston Coliseum
32,33,"Mon, Mar 11, 2019",8:30p,CTOURN,N,Northeastern,CAA,L,67,70,,24,9,L 1,North Charleston Coliseum
