,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Wed, Nov 7, 2018",7:30p,REG,,Oglethorpe,,W,68,57,,1,0,W 1,KSU Convocation Center 
1,2,"Fri, Nov 9, 2018",8:00p,REG,@,Kansas State (12),Big 12,L,41,56,,1,1,L 1,Bramlage Coliseum
2,3,"Mon, Nov 12, 2018",7:30p,REG,@,Samford,Southern,L,60,74,,1,2,L 2,Pete Hanna Center
3,4,"Fri, Nov 16, 2018",3:00p,REG,N,Missouri,SEC,L,52,55,,1,3,L 3,Virgin Islands Sport & Fitness Center 
4,5,"Sat, Nov 17, 2018",3:00p,REG,N,Old Dominion,CUSA,L,47,65,,1,4,L 4,Virgin Islands Sport & Fitness Center 
5,6,"Mon, Nov 19, 2018",1:00p,REG,N,Eastern Kentucky,OVC,L,81,100,,1,5,L 5,Virgin Islands Sport & Fitness Center 
6,7,"Sat, Nov 24, 2018",4:00p,REG,,Belmont,OVC,L,53,91,,1,6,L 6,KSU Convocation Center 
7,8,"Tue, Nov 27, 2018",7:00p,REG,@,Georgia,SEC,L,51,84,,1,7,L 7,Stegeman Coliseum
8,9,"Sat, Dec 1, 2018",2:00p,REG,,Hofstra,CAA,L,52,78,,1,8,L 8,KSU Convocation Center 
9,10,"Thu, Dec 13, 2018",5:00p,REG,@,Gardner-Webb,Big South,L,77,81,OT,1,9,L 9,Paul Porter Arena
10,11,"Sat, Dec 15, 2018",4:00p,REG,,Tennessee Tech,OVC,W,73,68,,2,9,W 1,KSU Convocation Center 
11,12,"Tue, Dec 18, 2018",7:00p,REG,,Elon,CAA,L,67,76,,2,10,L 1,KSU Convocation Center 
12,13,"Thu, Dec 20, 2018",4:00p,REG,,Southeastern,,W,90,72,,3,10,W 1,KSU Convocation Center 
13,14,"Fri, Dec 28, 2018",4:00p,REG,@,Georgia Tech,ACC,L,57,87,,3,11,L 1,McCamish Pavilion
14,15,"Wed, Jan 2, 2019",7:00p,REG,@,Yale,Ivy,L,65,92,,3,12,L 2,John J. Lee Ampitheater
15,16,"Sat, Jan 5, 2019",4:00p,REG,@,NJIT,A-Sun,L,52,72,,3,13,L 3,NJIT Wellness and Events Center
16,17,"Wed, Jan 9, 2019",7:00p,REG,,Jacksonville,A-Sun,L,70,90,,3,14,L 4,KSU Convocation Center 
17,18,"Wed, Jan 16, 2019",7:00p,REG,,Liberty,A-Sun,L,41,62,,3,15,L 5,KSU Convocation Center 
18,19,"Sat, Jan 19, 2019",4:30p,REG,,Florida Gulf Coast,A-Sun,L,59,72,,3,16,L 6,KSU Convocation Center 
19,20,"Mon, Jan 21, 2019",7:30p,REG,@,Lipscomb,A-Sun,L,57,86,,3,17,L 7,Allen Arena
20,21,"Thu, Jan 24, 2019",7:00p,REG,@,North Alabama,A-Sun,L,71,76,,3,18,L 8,Flowers Hall
21,22,"Wed, Jan 30, 2019",7:00p,REG,,North Florida,A-Sun,W,81,64,,4,18,W 1,KSU Convocation Center 
22,23,"Sat, Feb 2, 2019",4:00p,REG,@,Stetson,A-Sun,L,75,92,,4,19,L 1,Edmunds Center
23,24,"Wed, Feb 6, 2019",7:00p,REG,@,Jacksonville,A-Sun,L,73,82,,4,20,L 2,Swisher Gymnasium
24,25,"Sat, Feb 9, 2019",4:30p,REG,,NJIT,A-Sun,W,63,62,,5,20,W 1,KSU Convocation Center 
25,26,"Wed, Feb 13, 2019",7:00p,REG,@,North Florida,A-Sun,L,57,80,,5,21,L 1,UNF Arena 
26,27,"Sat, Feb 16, 2019",4:30p,REG,,Lipscomb,A-Sun,L,67,83,,5,22,L 2,KSU Convocation Center 
27,28,"Wed, Feb 20, 2019",7:00p,REG,,North Alabama,A-Sun,L,61,76,,5,23,L 3,KSU Convocation Center 
28,29,"Sat, Feb 23, 2019",7:00p,REG,@,Florida Gulf Coast,A-Sun,L,56,78,,5,24,L 4,Alico Arena
29,30,"Tue, Feb 26, 2019",7:00p,REG,@,Liberty,A-Sun,L,59,76,,5,25,L 5,Vines Center
30,31,"Fri, Mar 1, 2019",7:00p,REG,,Stetson,A-Sun,W,83,82,,6,25,W 1,KSU Convocation Center 
31,32,"Mon, Mar 4, 2019",8:00p,CTOURN,@,Lipscomb,A-Sun,L,71,86,,6,26,L 1,Allen Arena
