,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",8:00p,REG,,Cal State Fullerton,Big West,W,102,94,2OT,1,0,W 1,Wells Fargo Arena
1,2,"Fri, Nov 9, 2018",9:00p,REG,,McNeese State,Southland,W,80,52,,2,0,W 2,Wells Fargo Arena
2,3,"Mon, Nov 12, 2018",9:00p,REG,,Long Beach State,Big West,W,90,58,,3,0,W 3,Wells Fargo Arena
3,4,"Mon, Nov 19, 2018",11:00p,REG,N,Mississippi State (15),SEC,W,72,67,,4,0,W 4,T-Mobile Arena
4,5,"Wed, Nov 21, 2018",11:00p,REG,N,Utah State,MWC,W,87,82,,5,0,W 5,T-Mobile Arena
5,6,"Wed, Nov 28, 2018",9:00p,REG,,Omaha,Summit,W,89,71,,6,0,W 6,Wells Fargo Arena
6,7,"Sat, Dec 1, 2018",9:30p,REG,,Texas Southern,SWAC,W,83,71,,7,0,W 7,Wells Fargo Arena
7,8,"Fri, Dec 7, 2018",11:59p,REG,N,Nevada (6),MWC,L,66,72,,7,1,L 1,Staples Center
8,9,"Sat, Dec 15, 2018",6:00p,REG,@,Georgia,SEC,W,76,74,,8,1,W 1,Stegeman Coliseum
9,10,"Mon, Dec 17, 2018",7:00p,REG,@,Vanderbilt,SEC,L,65,81,,8,2,L 1,Memorial Gymnasium
10,11,"Sat, Dec 22, 2018",9:00p,REG,,Kansas (1),Big 12,W,80,76,,9,2,W 1,Wells Fargo Arena
11,12,"Sat, Dec 29, 2018",4:00p,REG,,Princeton,Ivy,L,66,67,,9,3,L 1,Wells Fargo Arena
12,13,"Thu, Jan 3, 2019",8:00p,REG,,Utah,Pac-12,L,86,96,,9,4,L 2,Wells Fargo Arena
13,14,"Sat, Jan 5, 2019",6:00p,REG,,Colorado,Pac-12,W,83,61,,10,4,W 1,Wells Fargo Arena
14,15,"Wed, Jan 9, 2019",9:00p,REG,@,University of California,Pac-12,W,80,66,,11,4,W 2,Haas Pavilion
15,16,"Sat, Jan 12, 2019",6:00p,REG,@,Stanford,Pac-12,L,71,85,,11,5,L 1,Maples Pavilion
16,17,"Thu, Jan 17, 2019",10:00p,REG,,Oregon State,Pac-12,W,70,67,,12,5,W 1,Wells Fargo Arena
17,18,"Sat, Jan 19, 2019",9:30p,REG,,Oregon,Pac-12,W,78,64,,13,5,W 2,Wells Fargo Arena
18,19,"Thu, Jan 24, 2019",11:00p,REG,@,UCLA,Pac-12,W,84,73,,14,5,W 3,Pauley Pavilion
19,20,"Sat, Jan 26, 2019",8:00p,REG,@,Southern California,Pac-12,L,67,69,,14,6,L 1,Galen Center
20,21,"Thu, Jan 31, 2019",9:00p,REG,,Arizona,Pac-12,W,95,88,OT,15,6,W 1,Wells Fargo Arena
21,22,"Thu, Feb 7, 2019",8:00p,REG,,Washington State,Pac-12,L,70,91,,15,7,L 1,Wells Fargo Arena
22,23,"Sat, Feb 9, 2019",10:00p,REG,,Washington,Pac-12,W,75,63,,16,7,W 1,Wells Fargo Arena
23,24,"Wed, Feb 13, 2019",10:30p,REG,@,Colorado,Pac-12,L,73,77,,16,8,L 1,Coors Events/Conference Center
24,25,"Sat, Feb 16, 2019",10:00p,REG,@,Utah,Pac-12,W,98,87,,17,8,W 1,Jon M. Huntsman Center
25,26,"Wed, Feb 20, 2019",9:00p,REG,,Stanford,Pac-12,W,80,62,,18,8,W 2,Wells Fargo Arena
26,27,"Sun, Feb 24, 2019",6:00p,REG,,University of California,Pac-12,W,69,59,,19,8,W 3,Wells Fargo Arena
27,28,"Thu, Feb 28, 2019",11:00p,REG,@,Oregon,Pac-12,L,51,79,,19,9,L 1,Matthew Knight Arena
28,29,"Sun, Mar 3, 2019",8:00p,REG,@,Oregon State,Pac-12,W,74,71,,20,9,W 1,Gill Coliseum
29,30,"Sat, Mar 9, 2019",4:00p,REG,@,Arizona,Pac-12,W,72,64,,21,9,W 2,McKale Center
30,31,"Thu, Mar 14, 2019",9:00p,CTOURN,N,UCLA,Pac-12,W,83,72,,22,9,W 3,T-Mobile Arena
31,32,"Fri, Mar 15, 2019",11:30p,CTOURN,N,Oregon,Pac-12,L,75,79,OT,22,10,L 1,T-Mobile Arena
32,33,"Wed, Mar 20, 2019",9:10p,NCAA,N,St. John's (NY),Big East,,,,,,,,
