,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",8:00p,REG,,Fort Valley State,,W,95,60,,1,0,W 1,Trojan Arena
1,2,"Sat, Nov 10, 2018",8:00p,REG,@,Saint Louis,A-10,L,58,62,,1,1,L 1,Chaifetz Arena
2,3,"Mon, Nov 12, 2018",7:00p,REG,@,Pittsburgh,ACC,L,75,84,,1,2,L 2,Petersen Events Center
3,4,"Thu, Nov 15, 2018",7:00p,REG,,Southern Mississippi,CUSA,L,66,81,,1,3,L 3,Trojan Arena
4,5,"Sun, Nov 18, 2018",3:00p,REG,,Central Arkansas,Southland,W,82,77,,2,3,W 1,Trojan Arena
5,6,"Sat, Nov 24, 2018",12:30p,REG,,North Alabama,A-Sun,W,77,58,,3,3,W 2,Trojan Arena
6,7,"Thu, Nov 29, 2018",8:15p,REG,,Austin Peay,OVC,L,74,79,OT,3,4,L 1,Trojan Arena
7,8,"Mon, Dec 3, 2018",8:00p,REG,@,Florida State (11),ACC,L,67,83,,3,5,L 2,Donald L. Tucker Center
8,9,"Wed, Dec 12, 2018",3:15p,REG,,Carver Bible,,W,88,43,,4,5,W 1,Trojan Arena
9,10,"Sun, Dec 16, 2018",3:00p,REG,@,Western Kentucky,CUSA,W,87,81,,5,5,W 2,E.A. Diddle Arena
10,11,"Fri, Dec 21, 2018",8:00p,REG,@,Alabama-Birmingham,CUSA,W,74,73,,6,5,W 3,Bartow Arena
11,12,"Sat, Dec 29, 2018",1:00p,REG,,Arkansas-Pine Bluff,SWAC,W,71,63,,7,5,W 4,Trojan Arena
12,13,"Thu, Jan 3, 2019",7:00p,REG,,Coastal Carolina,Sun Belt,L,75,88,,7,6,L 1,Trojan Arena
13,14,"Sat, Jan 5, 2019",3:00p,REG,,Appalachian State,Sun Belt,W,89,85,,8,6,W 1,Trojan Arena
14,15,"Thu, Jan 10, 2019",7:30p,REG,@,Little Rock,Sun Belt,L,59,73,,8,7,L 1,Jack Stephens Center
15,16,"Sat, Jan 12, 2019",5:00p,REG,@,Arkansas State,Sun Belt,W,90,85,OT,9,7,W 1,Convocation Center
16,17,"Thu, Jan 17, 2019",7:00p,REG,,Georgia Southern,Sun Belt,L,82,90,,9,8,L 1,Trojan Arena
17,18,"Sat, Jan 19, 2019",3:00p,REG,,Georgia State,Sun Belt,W,77,75,,10,8,W 1,Trojan Arena
18,19,"Thu, Jan 24, 2019",8:00p,REG,@,Louisiana-Monroe,Sun Belt,L,69,75,,10,9,L 1,Fant-Ewing Coliseum
19,20,"Sat, Jan 26, 2019",8:00p,REG,@,Louisiana,Sun Belt,L,81,86,,10,10,L 2,Cajundome
20,21,"Sat, Feb 2, 2019",6:00p,REG,@,South Alabama,Sun Belt,L,75,81,,10,11,L 3,Mitchell Center
21,22,"Thu, Feb 7, 2019",7:00p,REG,,Little Rock,Sun Belt,L,70,84,,10,12,L 4,Trojan Arena
22,23,"Sat, Feb 9, 2019",3:00p,REG,,Arkansas State,Sun Belt,W,84,79,,11,12,W 1,Trojan Arena
23,24,"Wed, Feb 13, 2019",7:00p,REG,@,Georgia State,Sun Belt,L,63,77,,11,13,L 1,GSU Sports Arena
24,25,"Fri, Feb 15, 2019",9:00p,REG,@,Georgia Southern,Sun Belt,L,51,76,,11,14,L 2,Hanner Fieldhouse
25,26,"Sat, Feb 23, 2019",5:15p,REG,,South Alabama,Sun Belt,L,52,68,,11,15,L 3,Trojan Arena
26,27,"Thu, Feb 28, 2019",7:00p,REG,,Texas State,Sun Belt,L,44,58,,11,16,L 4,Trojan Arena
27,28,"Sat, Mar 2, 2019",3:00p,REG,,Texas-Arlington,Sun Belt,L,66,79,,11,17,L 5,Trojan Arena
28,29,"Thu, Mar 7, 2019",7:00p,REG,@,Appalachian State,Sun Belt,L,64,72,,11,18,L 6,Holmes Convocation Center
29,30,"Sat, Mar 9, 2019",2:00p,REG,@,Coastal Carolina,Sun Belt,W,74,67,,12,18,W 1,The HTC Center
