,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",10:00p,REG,@,UC-Irvine,Big West,L,68,86,,0,1,L 1,Bren Events Center
1,2,"Tue, Nov 13, 2018",10:00p,REG,,Nicholls State,Southland,L,80,83,,0,2,L 2,Memorial Gym
2,3,"Sun, Nov 18, 2018",5:05p,REG,,Bethesda University (CA),,W,87,59,,1,2,W 1,Memorial Gym
3,4,"Fri, Nov 23, 2018",9:00p,REG,N,Northwest Nazarene,,L,73,77,,1,3,L 1,CenturyLink Arena
4,5,"Sat, Nov 24, 2018",9:00p,REG,N,UC-Santa Barbara,Big West,L,55,66,,1,4,L 2,CenturyLink Arena
5,6,"Tue, Nov 27, 2018",10:00p,REG,,West Coast Baptist,,W,98,44,,2,4,W 1,Memorial Gym
6,7,"Sat, Dec 1, 2018",4:00p,REG,@,North Dakota,Summit,W,67,54,,3,4,W 2,Betty Engelstad Sioux Center 
7,8,"Wed, Dec 5, 2018",9:00p,REG,@,Washington State,Pac-12,L,70,90,,3,5,L 1,Beasley Coliseum
8,9,"Sat, Dec 8, 2018",10:00p,REG,,Cal State Bakersfield,WAC,L,67,73,,3,6,L 2,Memorial Gym
9,10,"Sat, Dec 15, 2018",6:05p,REG,,Omaha,Summit,L,80,89,,3,7,L 3,Cowan Spectrum
10,11,"Fri, Dec 21, 2018",10:00p,REG,@,Santa Clara,WCC,L,56,77,,3,8,L 4,Leavey Center
11,12,"Sat, Dec 29, 2018",10:00p,REG,,Idaho State,Big Sky,L,55,72,,3,9,L 5,Cowan Spectrum
12,13,"Mon, Dec 31, 2018",5:00p,REG,,Weber State,Big Sky,L,87,93,,3,10,L 6,Cowan Spectrum
13,14,"Thu, Jan 3, 2019",10:30p,REG,,Eastern Washington,Big Sky,W,74,71,,4,10,W 1,Cowan Spectrum
14,15,"Sat, Jan 5, 2019",6:00p,REG,@,Northern Colorado,Big Sky,L,79,83,OT,4,11,L 1,Bank of Colorado Arena
15,16,"Thu, Jan 10, 2019",10:00p,REG,,Montana State,Big Sky,L,67,77,,4,12,L 2,Cowan Spectrum
16,17,"Sat, Jan 19, 2019",10:00p,REG,,Montana,Big Sky,L,51,69,,4,13,L 3,Cowan Spectrum
17,18,"Thu, Jan 24, 2019",10:05p,REG,@,Sacramento State,Big Sky,L,48,69,,4,14,L 4,The Nest
18,19,"Sat, Jan 26, 2019",10:05p,REG,@,Portland State,Big Sky,L,53,69,,4,15,L 5,Peter W. Stott Center
19,20,"Sat, Feb 2, 2019",10:00p,REG,,Northern Arizona,Big Sky,L,73,86,,4,16,L 6,Cowan Spectrum
20,21,"Mon, Feb 4, 2019",10:00p,REG,,Southern Utah,Big Sky,L,64,75,,4,17,L 7,Cowan Spectrum
21,22,"Thu, Feb 7, 2019",9:00p,REG,@,Montana,Big Sky,L,59,100,,4,18,L 8,Adams Center/Dahlberg Arena
22,23,"Sat, Feb 9, 2019",4:00p,REG,@,Montana State,Big Sky,L,72,86,,4,19,L 9,Max Worthington Arena
23,24,"Thu, Feb 14, 2019",10:00p,REG,,Northern Colorado,Big Sky,L,47,75,,4,20,L 10,Cowan Spectrum
24,25,"Mon, Feb 18, 2019",7:00p,REG,@,Eastern Washington,Big Sky,L,57,82,,4,21,L 11,Reese Court
25,26,"Thu, Feb 21, 2019",8:30p,REG,@,Northern Arizona,Big Sky,L,54,75,,4,22,L 12,Walkup Skydome
26,27,"Sat, Feb 23, 2019",4:00p,REG,@,Southern Utah,Big Sky,L,76,85,,4,23,L 13,Centrum
27,28,"Thu, Feb 28, 2019",10:00p,REG,,Portland State,Big Sky,L,65,67,,4,24,L 14,Cowan Spectrum
28,29,"Sat, Mar 2, 2019",10:00p,REG,,Sacramento State,Big Sky,W,94,90,,5,24,W 1,Cowan Spectrum
29,30,"Thu, Mar 7, 2019",9:00p,REG,@,Weber State,Big Sky,L,59,93,,5,25,L 1,Dee Events Center
30,31,"Sat, Mar 9, 2019",9:05p,REG,@,Idaho State,Big Sky,L,68,70,,5,26,L 2,Holt Arena
31,32,"Wed, Mar 13, 2019",4:30p,CTOURN,N,Montana State,Big Sky,L,71,75,,5,27,L 3,CenturyLink Arena
