,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 9, 2018",8:00p,REG,,Albany (NY),AEC,W,72,68,,1,0,W 1,Hynes Athletics Center
1,2,"Tue, Nov 13, 2018",9:00p,REG,@,New Mexico,MWC,L,83,90,,1,1,L 1,The Pit
2,3,"Mon, Nov 19, 2018",5:00p,REG,N,Long Beach State,Big West,L,85,86,,1,2,L 2,Cox Pavilion
3,4,"Wed, Nov 21, 2018",2:00p,REG,N,Hartford,AEC,W,80,75,,2,2,W 1,Cox Pavilion
4,5,"Sat, Nov 24, 2018",4:00p,REG,@,Providence,Big East,L,79,91,,2,3,L 1,Dunkin' Donuts Center
5,6,"Tue, Nov 27, 2018",7:00p,REG,@,Ohio,MAC,L,65,89,,2,4,L 2,Convocation Center
6,7,"Sat, Dec 1, 2018",7:00p,REG,@,Virginia Commonwealth,A-10,L,59,88,,2,5,L 3,Stuart Siegel Center
7,8,"Sun, Dec 9, 2018",11:00a,REG,N,Columbia,Ivy,L,71,74,,2,6,L 4,Madison Square Garden (IV)
8,9,"Sat, Dec 15, 2018",11:30a,REG,N,Princeton,Ivy,L,81,85,,2,7,L 5,
9,10,"Sat, Dec 22, 2018",2:00p,REG,@,Yale,Ivy,L,84,99,,2,8,L 6,John J. Lee Ampitheater
10,11,"Sun, Dec 30, 2018",1:00p,REG,,Holy Cross,Patriot,L,71,78,,2,9,L 7,Hynes Athletics Center
11,12,"Thu, Jan 3, 2019",7:00p,REG,,Monmouth,MAAC,W,103,84,,3,9,W 1,Hynes Athletics Center
12,13,"Sat, Jan 5, 2019",1:00p,REG,,Fairfield,MAAC,W,94,87,,4,9,W 2,Hynes Athletics Center
13,14,"Fri, Jan 11, 2019",7:00p,REG,@,Niagara,MAAC,L,90,95,,4,10,L 1,Gallagher Center
14,15,"Sun, Jan 13, 2019",2:00p,REG,@,Canisius,MAAC,W,88,70,,5,10,W 1,Koessler Athletic Center
15,16,"Fri, Jan 18, 2019",7:00p,REG,,Marist,MAAC,W,90,77,,6,10,W 2,Hynes Athletics Center
16,17,"Sun, Jan 20, 2019",12:00p,REG,@,Monmouth,MAAC,L,81,83,,6,11,L 1,Multipurpose Activity Center
17,18,"Fri, Jan 25, 2019",7:00p,REG,,Rider,MAAC,W,77,71,,7,11,W 1,Hynes Athletics Center
18,19,"Sun, Jan 27, 2019",1:00p,REG,@,Fairfield,MAAC,L,68,80,,7,12,L 1,Webster Bank Arena
19,20,"Thu, Jan 31, 2019",7:00p,REG,@,Marist,MAAC,L,74,78,,7,13,L 2,McCann Recreation Center
20,21,"Sat, Feb 2, 2019",1:00p,REG,,Siena,MAAC,L,54,56,,7,14,L 3,Hynes Athletics Center
21,22,"Fri, Feb 8, 2019",7:00p,REG,,Quinnipiac,MAAC,L,65,66,,7,15,L 4,Hynes Athletics Center
22,23,"Sun, Feb 10, 2019",1:00p,REG,,Niagara,MAAC,W,79,76,,8,15,W 1,Hynes Athletics Center
23,24,"Wed, Feb 13, 2019",7:00p,REG,@,Siena,MAAC,W,57,52,,9,15,W 2,Times Union Center 
24,25,"Fri, Feb 15, 2019",7:00p,REG,,Saint Peter's,MAAC,W,62,46,,10,15,W 3,Hynes Athletics Center
25,26,"Tue, Feb 19, 2019",7:00p,REG,@,Quinnipiac,MAAC,W,81,77,,11,15,W 4,TD Bank Sports Center
26,27,"Fri, Feb 22, 2019",7:00p,REG,@,Manhattan,MAAC,W,66,52,,12,15,W 5,Draddy Gymnasium
27,28,"Sun, Feb 24, 2019",1:00p,REG,,Canisius,MAAC,W,87,80,,13,15,W 6,Hynes Athletics Center
28,29,"Fri, Mar 1, 2019",7:00p,REG,@,Rider,MAAC,W,86,79,,14,15,W 7,Alumni Gymnasium
29,30,"Fri, Mar 8, 2019",7:00p,CTOURN,N,Saint Peter's,MAAC,W,73,71,,15,15,W 8,Times Union Center 
30,31,"Sun, Mar 10, 2019",6:00p,CTOURN,N,Siena,MAAC,W,73,57,,16,15,W 9,Times Union Center 
31,32,"Mon, Mar 11, 2019",9:00p,CTOURN,N,Monmouth,MAAC,W,81,60,,17,15,W 10,Times Union Center 
32,33,"Fri, Mar 22, 2019",9:20p,NCAA,N,North Carolina (3),ACC,,,,,,,,
