,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",9:00p,REG,,Purdue-Fort Wayne,Summit,W,96,71,,1,0,W 1,Pauley Pavilion
1,2,"Fri, Nov 9, 2018",11:00p,REG,,Long Beach State,Big West,W,91,80,,2,0,W 2,Pauley Pavilion
2,3,"Fri, Nov 16, 2018",11:00p,REG,,Saint Francis (PA),NEC,W,95,58,,3,0,W 3,Pauley Pavilion
3,4,"Mon, Nov 19, 2018",11:00p,REG,,Presbyterian,Big South,W,80,65,,4,0,W 4,Pauley Pavilion
4,5,"Thu, Nov 22, 2018",10:00p,REG,N,Michigan State (11),Big Ten,L,67,87,,4,1,L 1,Orleans Arena
5,6,"Fri, Nov 23, 2018",4:00p,REG,N,North Carolina (7),ACC,L,78,94,,4,2,L 2,Orleans Arena
6,7,"Wed, Nov 28, 2018",9:00p,REG,,Hawaii,Big West,W,80,61,,5,2,W 1,Pauley Pavilion
7,8,"Sun, Dec 2, 2018",10:00p,REG,,Loyola Marymount,WCC,W,82,58,,6,2,W 2,Pauley Pavilion
8,9,"Sat, Dec 8, 2018",10:30p,REG,,Notre Dame,ACC,W,65,62,,7,2,W 3,Pauley Pavilion
9,10,"Sat, Dec 15, 2018",5:00p,REG,,Belmont,OVC,L,72,74,,7,3,L 1,Pauley Pavilion
10,11,"Wed, Dec 19, 2018",9:00p,REG,@,Cincinnati,AAC,L,64,93,,7,4,L 2,Fifth Third Arena
11,12,"Sat, Dec 22, 2018",3:00p,REG,N,Ohio State (15),Big Ten,L,66,80,,7,5,L 3,United Center
12,13,"Sat, Dec 29, 2018",6:00p,REG,,Liberty,A-Sun,L,58,73,,7,6,L 4,Pauley Pavilion
13,14,"Thu, Jan 3, 2019",11:00p,REG,,Stanford,Pac-12,W,92,70,,8,6,W 1,Pauley Pavilion
14,15,"Sat, Jan 5, 2019",4:00p,REG,,University of California,Pac-12,W,98,83,,9,6,W 2,Pauley Pavilion
15,16,"Thu, Jan 10, 2019",9:00p,REG,@,Oregon,Pac-12,W,87,84,OT,10,6,W 3,Matthew Knight Arena
16,17,"Sun, Jan 13, 2019",10:00p,REG,@,Oregon State,Pac-12,L,66,79,,10,7,L 1,Gill Coliseum
17,18,"Sat, Jan 19, 2019",4:00p,REG,@,Southern California,Pac-12,L,67,80,,10,8,L 2,Galen Center
18,19,"Thu, Jan 24, 2019",11:00p,REG,,Arizona State,Pac-12,L,73,84,,10,9,L 3,Pauley Pavilion
19,20,"Sat, Jan 26, 2019",10:00p,REG,,Arizona,Pac-12,W,90,69,,11,9,W 1,Pauley Pavilion
20,21,"Wed, Jan 30, 2019",10:00p,REG,@,Washington State,Pac-12,W,87,67,,12,9,W 2,Beasley Coliseum
21,22,"Sat, Feb 2, 2019",4:00p,REG,@,Washington,Pac-12,L,55,69,,12,10,L 1,Alaska Airlines Arena
22,23,"Wed, Feb 6, 2019",9:00p,REG,,Colorado,Pac-12,L,73,84,,12,11,L 2,Pauley Pavilion
23,24,"Sat, Feb 9, 2019",5:00p,REG,,Utah,Pac-12,L,92,93,,12,12,L 3,Pauley Pavilion
24,25,"Wed, Feb 13, 2019",10:00p,REG,@,University of California,Pac-12,W,75,67,OT,13,12,W 1,Haas Pavilion
25,26,"Sat, Feb 16, 2019",10:00p,REG,@,Stanford,Pac-12,L,80,104,,13,13,L 1,Maples Pavilion
26,27,"Thu, Feb 21, 2019",11:00p,REG,,Oregon State,Pac-12,W,68,67,,14,13,W 1,Pauley Pavilion
27,28,"Sat, Feb 23, 2019",10:00p,REG,,Oregon,Pac-12,W,90,83,,15,13,W 2,Pauley Pavilion
28,29,"Thu, Feb 28, 2019",9:00p,REG,,Southern California,Pac-12,W,93,88,OT,16,13,W 3,Pauley Pavilion
29,30,"Thu, Mar 7, 2019",9:00p,REG,@,Colorado,Pac-12,L,68,93,,16,14,L 1,Coors Events/Conference Center
30,31,"Sat, Mar 9, 2019",7:00p,REG,@,Utah,Pac-12,L,81,92,,16,15,L 2,Jon M. Huntsman Center
31,32,"Wed, Mar 13, 2019",9:00p,CTOURN,N,Stanford,Pac-12,W,79,72,,17,15,W 1,T-Mobile Arena
32,33,"Thu, Mar 14, 2019",9:00p,CTOURN,N,Arizona State,Pac-12,L,72,83,,17,16,L 1,T-Mobile Arena
