School 1 Name,School 2 Name
kansas,pennsylvania
seton-hall,north-carolina-state
clemson,new-mexico-state
auburn,college-of-charleston
texas-christian,syracuse
michigan-state,bucknell
rhode-island,oklahoma
duke,iona
