,Height,Weight,MP,2P,2PA,3P,3PA,ORB,DRB,FT,FTA,AST,STL,BLK,TOV
G,74.27096774193551,182.43548387096774,23.267741935483865,1.2145161290322581,2.9048387096774193,0.9123655913978497,2.5602150537634407,0.3951612903225806,1.5129032258064516,0.7736559139784945,1.1548387096774195,1.5698924731182797,0.5311827956989247,0.1021505376344086,1.1268817204301074
F/C,157.1748079877112,429.7599846390169,40.106298003072204,4.906144393241167,9.34831029185868,0.7668202764976959,2.3611367127496163,3.3110599078341014,6.057757296466974,4.0847926267281105,5.241858678955452,1.5842549923195086,0.9302611367127497,1.4821044546850999,3.0899385560675885
