,Height,Weight,MP,2P,2PA,3P,3PA,ORB,DRB,FT,FTA,AST,STL,BLK,TOV
G,74.68191964285714,184.81826636904765,21.791666666666668,1.2678571428571428,2.9644717261904763,0.6781994047619048,2.3497023809523805,0.6971726190476193,2.3374255952380953,1.0321800595238093,1.470796130952381,1.385044642857143,0.6852678571428574,0.11235119047619045,1.3457961309523812
F/C,79.390625,220.625,20.5,2.875,5.671875,0.3125,1.3125,0.921875,2.015625,1.25,1.890625,0.796875,0.390625,0.703125,1.5625
