Round,School 1 Name,School 2 Name,Winning School,Winning Score,Losing Score
1,virginia,gardner-webb,virginia,71,56
1,mississippi,oklahoma,oklahoma,95,72
1,wisconsin,oregon,oregon,72,54
1,kansas-state,california-irvine,california-irvine,70,64
1,villanova,saint-marys-ca,villanova,61,57
1,purdue,old-dominion,purdue,61,48
1,cincinnati,iowa,iowa,79,72
1,tennessee,colgate,tennessee,77,70
2,virginia,oklahoma,virginia,63,51
2,oregon,california-irvine,oregon,73,54
2,villanova,purdue,purdue,87,61
2,iowa,tennessee,tennessee,83,77
