Round,School 1 Name,School 2 Name,Winning School,Winning Score,Losing Score
1,gonzaga,fairleigh-dickinson,gonzaga,87,49
1,syracuse,baylor,baylor,78,69
1,marquette,murray-state,murray-state,83,64
1,florida-state,vermont,florida-state,76,69
1,buffalo,arizona-state,buffalo,91,74
1,texas-tech,northern-kentucky,texas-tech,72,57
1,nevada,florida,florida,70,61
1,michigan,montana,michigan,74
2,gonzaga,baylor,gonzaga,83,71
2,murray-state,florida-state,florida-state,90,62
2,buffalo,texas-tech,78,58,texas-tech,78
2,michigan,florida,michigan,64,49
