,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jae'Sean Tate,37,6,11,.545,6,10,.600,0,1,.000,2,5,.400,1,3,4,1,1,0,1,2,14
1,Keita Bates-Diop,36,5,10,.500,3,7,.429,2,3,.667,6,6,1.000,0,9,9,1,1,1,1,0,18
2,Kaleb Wesson,23,1,4,.250,1,4,.250,0,0,,6,8,.750,2,3,5,1,0,2,1,4,8
3,Kam Williams,18,3,5,.600,2,3,.667,1,2,.500,0,0,,0,2,2,0,0,0,0,1,7
4,Musa Jallow,12,0,2,.000,0,0,,0,2,.000,1,2,.500,0,0,0,1,0,0,1,3,1
5,C.J. Jackson,28,4,10,.400,2,4,.500,2,6,.333,7,8,.875,0,6,6,4,0,0,2,3,17
6,Kyle Young,21,3,3,1.000,3,3,1.000,0,0,,0,0,,1,3,4,0,1,0,1,0,6
7,Andrew Dakich,16,0,0,,0,0,,0,0,,0,0,,1,0,1,3,0,0,0,2,0
8,Andre Wesson,9,0,0,,0,0,,0,0,,0,0,,0,1,1,1,1,1,3,3,0
