school:abilene-christian,Abilene Christian,,1
school:air-force,Air Force,,1
school:akron,Akron,,1
school:alabama,Alabama,,1
school:alabama-am,Alabama A&M,,1
school:alabama-birmingham,Alabama-Birmingham,,1
school:alabama-state,Alabama State,,1
school:albany-ny,Albany (NY),,1
school:alcorn-state,Alcorn State,,1
school:american,American,,1
school:appalachian-state,Appalachian State,,1
school:arizona,Arizona,,1
school:arizona-state,Arizona State,,1
school:arkansas,Arkansas,,1
school:arkansas-little-rock,Arkansas-Little Rock,,1
school:arkansas-pine-bluff,Arkansas-Pine Bluff,,1
school:arkansas-state,Arkansas State,,1
school:army,Army,,1
school:auburn,Auburn,,1
school:austin-peay,Austin Peay,,1
school:ball-state,Ball State,,1
school:baylor,Baylor,,1
school:belmont,Belmont,,1
school:bethune-cookman,Bethune-Cookman,,1
school:binghamton,Binghamton,,1
school:boise-state,Boise State,,1
school:boston-college,Boston College,,1
school:boston-university,Boston University,,1
school:bowling-green-state,Bowling Green State,,1
school:bradley,Bradley,,1
school:brigham-young,Brigham Young,,1
school:brown,Brown,,1
school:bryant,Bryant,,1
school:bucknell,Bucknell,,1
school:buffalo,Buffalo,,1
school:butler,Butler,,1
school:cal-poly,Cal Poly,,1
school:cal-state-bakersfield,Cal State Bakersfield,,1
school:cal-state-fullerton,Cal State Fullerton,,1
school:cal-state-northridge,Cal State Northridge,,1
school:california,University of California,,1
school:california-davis,UC-Davis,,1
school:california-irvine,UC-Irvine,,1
school:california-riverside,UC-Riverside,,1
school:california-santa-barbara,UC-Santa Barbara,,1
school:campbell,Campbell,,1
school:canisius,Canisius,,1
school:central-arkansas,Central Arkansas,,1
school:central-connecticut-state,Central Connecticut State,,1
school:central-florida,Central Florida,,1
school:central-michigan,Central Michigan,,1
school:charleston-southern,Charleston Southern,,1
school:charlotte,Charlotte,,1
school:chattanooga,Chattanooga,,1
school:chicago-state,Chicago State,,1
school:cincinnati,Cincinnati,,1
school:citadel,Citadel,,1
school:clemson,Clemson,,1
school:cleveland-state,Cleveland State,,1
school:coastal-carolina,Coastal Carolina,,1
school:colgate,Colgate,,1
school:college-of-charleston,College of Charleston,,1
school:colorado,Colorado,,1
school:colorado-state,Colorado State,,1
school:columbia,Columbia,,1
school:connecticut,Connecticut,,1
school:coppin-state,Coppin State,,1
school:cornell,Cornell,,1
school:creighton,Creighton,,1
school:dartmouth,Dartmouth,,1
school:davidson,Davidson,,1
school:dayton,Dayton,,1
school:delaware,Delaware,,1
school:delaware-state,Delaware State,,1
school:denver,Denver,,1
school:depaul,DePaul,,1
school:detroit-mercy,Detroit Mercy,,1
school:drake,Drake,,1
school:drexel,Drexel,,1
school:duke,Duke,,1
school:duquesne,Duquesne,,1
school:east-carolina,East Carolina,,1
school:east-tennessee-state,East Tennessee State,,1
school:eastern-illinois,Eastern Illinois,,1
school:eastern-kentucky,Eastern Kentucky,,1
school:eastern-michigan,Eastern Michigan,,1
